cycle,current_variable,current_target,current_includes_age20,arthritis_variable,ra_positive_code,missing_required,required_fields_include_age20,adult_current_coverage_verdict
1999-2000,MCQ030,Both males and females 1 YEARS - 19 YEARS,False,MCQ190,1,,True,revise
2001-2002,MCQ035,Both males and females 1 YEARS - 150 YEARS,True,MCQ190,1,,True,pass
2003-2004,MCQ035,Both males and females 1 YEARS - 150 YEARS,True,MCQ190,1,,True,pass
2005-2006,MCQ035,Both males and females 1 YEARS - 150 YEARS,True,MCQ190,1,,True,pass
2007-2008,MCQ035,Both males and females 1 YEARS - 150 YEARS,True,MCQ190,1,,True,pass
2009-2010,MCQ035,Both males and females 1 YEARS - 150 YEARS,True,MCQ191,1,,True,pass
2011-2012,MCQ035,Both males and females 1 YEARS - 150 YEARS,True,MCQ195,2,,True,pass
2013-2014,MCQ035,Both males and females 1 YEARS - 150 YEARS,True,MCQ195,2,,True,pass
2015-2016,MCQ035,Both males and females 1 YEARS - 150 YEARS,True,MCQ195,2,,True,pass
2017-2018,MCQ035,Both males and females 1 YEARS - 150 YEARS,True,MCQ195,2,,True,pass
