cycle,module,file,variable,label,question,instructions,target,values_json,source_url,codebook_sha256,status
1999-2000,DEMO,DEMO,SEQN,Respondent sequence number,Respondent sequence number.,,Both males and females 0 YEARS - 150 YEARS,[],https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DEMO.htm,3757ef13473397ba968273ee4e7d449c3e2dfa0adb45a0faabddd438ff3e23f9,extracted_requires_semantic_review
1999-2000,DEMO,DEMO,SDDSRVYR,Data Release Number,Data Release Number.,,Both males and females 0 YEARS - 150 YEARS,"[{""code"": ""1"", ""label"": ""NHANES 1999-2000 Public Release"", ""count"": 9965, ""cumulative"": ""9965"", ""skip"": """"}, {""code"": ""."", ""label"": ""Missing"", ""count"": 0, ""cumulative"": ""9965"", ""skip"": """"}]",https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DEMO.htm,3757ef13473397ba968273ee4e7d449c3e2dfa0adb45a0faabddd438ff3e23f9,extracted_requires_semantic_review
1999-2000,DEMO,DEMO,RIAGENDR,Gender,Gender of the sample person,,Both males and females 0 YEARS - 150 YEARS,"[{""code"": ""1"", ""label"": ""Male"", ""count"": 4883, ""cumulative"": ""4883"", ""skip"": """"}, {""code"": ""2"", ""label"": ""Female"", ""count"": 5082, ""cumulative"": ""9965"", ""skip"": """"}, {""code"": ""."", ""label"": ""Missing"", ""count"": 0, ""cumulative"": ""9965"", ""skip"": """"}]",https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DEMO.htm,3757ef13473397ba968273ee4e7d449c3e2dfa0adb45a0faabddd438ff3e23f9,extracted_requires_semantic_review
1999-2000,DEMO,DEMO,RIDAGEYR,Age at Screening Adjudicated - Recode,Best age in years of the sample person at time of HH screening. Individuals 85 and over are topcoded at 85 years of age.,,Both males and females 0 YEARS - 150 YEARS,"[{""code"": ""0 to 84"", ""label"": ""Range of Values"", ""count"": 9792, ""cumulative"": ""9792"", ""skip"": """"}, {""code"": ""85"", ""label"": "">= 85 years of age"", ""count"": 173, ""cumulative"": ""9965"", ""skip"": """"}, {""code"": ""."", ""label"": ""Missing"", ""count"": 0, ""cumulative"": ""9965"", ""skip"": """"}]",https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DEMO.htm,3757ef13473397ba968273ee4e7d449c3e2dfa0adb45a0faabddd438ff3e23f9,extracted_requires_semantic_review
1999-2000,DEMO,DEMO,RIDRETH1,Race/Ethnicity - Recode,Recode of reported race and ethnicity information.,,Both males and females 0 YEARS - 150 YEARS,"[{""code"": ""1"", ""label"": ""Mexican American"", ""count"": 3393, ""cumulative"": ""3393"", ""skip"": """"}, {""code"": ""2"", ""label"": ""Other Hispanic"", ""count"": 589, ""cumulative"": ""3982"", ""skip"": """"}, {""code"": ""3"", ""label"": ""Non-Hispanic White"", ""count"": 3367, ""cumulative"": ""7349"", ""skip"": """"}, {""code"": ""4"", ""label"": ""Non-Hispanic Black"", ""count"": 2228, ""cumulative"": ""9577"", ""skip"": """"}, {""code"": ""5"", ""label"": ""Other Race - Including Multi-Racial"", ""count"": 388, ""cumulative"": ""9965"", ""skip"": """"}, {""code"": ""."", ""label"": ""Missing"", ""count"": 0, ""cumulative"": ""9965"", ""skip"": """"}]",https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DEMO.htm,3757ef13473397ba968273ee4e7d449c3e2dfa0adb45a0faabddd438ff3e23f9,extracted_requires_semantic_review
1999-2000,DEMO,DEMO,DMDEDUC2,Education Level - Adults 20+,(SP Interview Version) What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?,HAND CARD DMQ1 READ HAND CARD CATEGORIES IF NECESSARY ENTER HIGHEST LEVEL OF SCHOOL,Both males and females 20 YEARS - 150 YEARS,"[{""code"": ""1"", ""label"": ""Less Than 9th Grade"", ""count"": 932, ""cumulative"": ""932"", ""skip"": """"}, {""code"": ""2"", ""label"": ""9-11th Grade (Includes 12th grade with no diploma)"", ""count"": 964, ""cumulative"": ""1896"", ""skip"": """"}, {""code"": ""3"", ""label"": ""High School Grad/GED or Equivalent"", ""count"": 1097, ""cumulative"": ""2993"", ""skip"": """"}, {""code"": ""4"", ""label"": ""Some College or AA degree"", ""count"": 1070, ""cumulative"": ""4063"", ""skip"": """"}, {""code"": ""5"", ""label"": ""College Graduate or above"", ""count"": 793, ""cumulative"": ""4856"", ""skip"": """"}, {""code"": ""7"", ""label"": ""Refused"", ""count"": 8, ""cumulative"": ""4864"", ""skip"": """"}, {""code"": ""9"", ""label"": ""Don't Know"", ""count"": 14, ""cumulative"": ""4878"", ""skip"": """"}, {""code"": ""."", ""label"": ""Missing"", ""count"": 5087, ""cumulative"": ""9965"", ""skip"": """"}]",https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DEMO.htm,3757ef13473397ba968273ee4e7d449c3e2dfa0adb45a0faabddd438ff3e23f9,extracted_requires_semantic_review
1999-2000,DEMO,DEMO,INDFMPIR,Family PIR,Poverty income ratio (PIR) - a ratio of family income to poverty threshold,,Both males and females 0 YEARS - 150 YEARS,"[{""code"": ""0 to 4.99"", ""label"": ""Range of Values"", ""count"": 7466, ""cumulative"": ""7466"", ""skip"": """"}, {""code"": ""5"", ""label"": ""PIR value greater than or equal to 5.00"", ""count"": 1016, ""cumulative"": ""8482"", ""skip"": """"}, {""code"": ""."", ""label"": ""Missing"", ""count"": 1483, ""cumulative"": ""9965"", ""skip"": """"}]",https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DEMO.htm,3757ef13473397ba968273ee4e7d449c3e2dfa0adb45a0faabddd438ff3e23f9,extracted_requires_semantic_review
1999-2000,DEMO,DEMO,WTINT2YR,Full Sample 2 Year Interview Weight,Interviewed Sample Persons.,,Both males and females 0 YEARS - 150 YEARS,"[{""code"": ""974.66525161 to 236864.13597"", ""label"": ""Range of Values"", ""count"": 9965, ""cumulative"": ""9965"", ""skip"": """"}, {""code"": ""."", ""label"": ""Missing"", ""count"": 0, ""cumulative"": ""9965"", ""skip"": """"}]",https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DEMO.htm,3757ef13473397ba968273ee4e7d449c3e2dfa0adb45a0faabddd438ff3e23f9,extracted_requires_semantic_review
1999-2000,DEMO,DEMO,WTINT4YR,Full Sample 4 Year Interview Weight,Interviewed Sample Persons. Used for 1999-2002 data collection years only.,,Both males and females 0 YEARS - 150 YEARS,"[{""code"": ""620.682382 to 100652.32964"", ""label"": ""Range of Values"", ""count"": 9965, ""cumulative"": ""9965"", ""skip"": """"}, {""code"": ""."", ""label"": ""Missing"", ""count"": 0, ""cumulative"": ""9965"", ""skip"": """"}]",https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DEMO.htm,3757ef13473397ba968273ee4e7d449c3e2dfa0adb45a0faabddd438ff3e23f9,extracted_requires_semantic_review
1999-2000,DEMO,DEMO,WTMEC2YR,Full Sample 2 Year MEC Exam Weight,Both Interviewed and MEC Examined Sample Persons.,,Both males and females 0 YEARS - 150 YEARS,"[{""code"": ""0 to 261361.33834"", ""label"": ""Range of Values"", ""count"": 9965, ""cumulative"": ""9965"", ""skip"": """"}, {""code"": ""."", ""label"": ""Missing"", ""count"": 0, ""cumulative"": ""9965"", ""skip"": """"}]",https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DEMO.htm,3757ef13473397ba968273ee4e7d449c3e2dfa0adb45a0faabddd438ff3e23f9,extracted_requires_semantic_review
