cycle,module,file,url,bytes,sha256,relative_path,rows,reused_existing,retrieved_utc
1999-2000,DEMO,DEMO,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DEMO.xpt,11500560,a17bd1ebfd6007b8dc93f16259cb090678eb6c467a39363b7e932bba15febf89,raw/1999-2000/DEMO.xpt,9965,False,2026-09-23T15:00:54.082029+00:00
1999-2000,MCQ,MCQ,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/MCQ.xpt,12706880,3bf45a296282a80baa23b4651c655cf422a235a08a142aa2ab5dd7ca963a2e5a,raw/1999-2000/MCQ.xpt,9493,False,2026-09-23T15:00:48.884346+00:00
1999-2000,SMQ,SMQ,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/SMQ.xpt,1733760,fb1505ea08e310a5cb703ccae0e220aede3da812674e9e53f832fe76e31c2ce3,raw/1999-2000/SMQ.xpt,4880,False,2026-09-23T15:00:49.940196+00:00
2001-2002,DEMO,DEMO_B,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/DEMO_B.xpt,3273520,6458dc2307cee244ab6ba26f70ec78c7b842ffc68e668bc43f0ab6b9737937d9,raw/2001-2002/DEMO_B.xpt,11039,False,2026-09-23T15:00:53.433305+00:00
2001-2002,MCQ,MCQ_B,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/MCQ_B.xpt,12417920,6e31c8d78e1ab0d1aaa8f012411641d6b51bc9601c2237d999d0acdddd04de01,raw/2001-2002/MCQ_B.xpt,10470,False,2026-09-23T15:00:54.171341+00:00
2001-2002,SMQ,SMQ_B,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/SMQ_B.xpt,2073680,179d7ad46de9478824d475de0e6425f474b34dd4798066a552acd31b89f07fde,raw/2001-2002/SMQ_B.xpt,5411,False,2026-09-23T15:00:56.411221+00:00
2003-2004,DEMO,DEMO_C,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/DEMO_C.xpt,3569840,2a2fdb88263337bfa06f0516bfb419631595f0a0ee88fb96069bed13d1857c6f,raw/2003-2004/DEMO_C.xpt,10122,False,2026-09-23T15:00:59.375140+00:00
2003-2004,MCQ,MCQ_C,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/MCQ_C.xpt,11904960,42487737067c5dbdf533bb91b5f752d1fff1dfa9eed91c7ae54ab5e49b65b019,raw/2003-2004/MCQ_C.xpt,9645,False,2026-09-23T15:00:57.607732+00:00
2003-2004,SMQ,SMQ_C,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/SMQ_C.xpt,1932320,fbfe1e4b286ab43fdc3fd84c3830bb241b8b5ca84b3ab5902b8808e4136efc2c,raw/2003-2004/SMQ_C.xpt,5041,False,2026-09-23T15:01:07.137284+00:00
2005-2006,DEMO,DEMO_D,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/DEMO_D.xpt,3566560,bf9cc79cce501b2fbe5aa8d5b403b618548d02d4aefeb528335cdd9f4c40a3af,raw/2005-2006/DEMO_D.xpt,10348,False,2026-09-23T15:01:05.050651+00:00
2005-2006,MCQ,MCQ_D,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/MCQ_D.xpt,7006480,12bf5f557c97284e096a8cd8aefbc8e3ab9f12a410c2f50474c4dfddd2ebf6f4,raw/2005-2006/MCQ_D.xpt,9822,False,2026-09-23T15:01:04.000628+00:00
2005-2006,SMQ,SMQ_D,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/SMQ_D.xpt,2578880,ef82433aca1a36ba2310a624ccdbaf195e2a258a88af0f284ef2a58d36be3011,raw/2005-2006/SMQ_D.xpt,7186,False,2026-09-23T15:01:09.403924+00:00
2007-2008,DEMO,DEMO_E,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/DEMO_E.xpt,3498080,02b8e97703d04bc99769c751881bece51ac9ba68cf18a2992a45d3bdfb856147,raw/2007-2008/DEMO_E.xpt,10149,False,2026-09-23T15:01:12.170607+00:00
2007-2008,MCQ,MCQ_E,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/MCQ_E.xpt,7127840,dfbe11c6b036ec4e79aeba7805833fc4951c74662a9510066c3a93932f6990e6,raw/2007-2008/MCQ_E.xpt,9666,False,2026-09-23T15:01:11.404639+00:00
2007-2008,SMQ,SMQ_E,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/SMQ_E.xpt,2449520,881865ee05f4b2be0c03c761f00ad8e355f2cc5e7d3be41666edef6f3dca5862,raw/2007-2008/SMQ_E.xpt,7145,False,2026-09-23T15:01:12.689030+00:00
2009-2010,DEMO,DEMO_F,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/DEMO_F.xpt,3631600,78c4d4a6e5eafa9da3bbb24a90d140fef5d8c0cda932a7ff8ee609288d4fae07,raw/2009-2010/DEMO_F.xpt,10537,False,2026-09-23T15:01:15.814410+00:00
