"package","expected","installed","path"
"DBI","1.2.3","1.2.3","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/DBI"
"MASS","7.3-65","7.3-65","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/MASS"
"Matrix","1.7-4","1.7-4","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/Matrix"
"R6","2.6.1","2.6.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/R6"
"RColorBrewer","1.1-3","1.1-3","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/RColorBrewer"
"Rcpp","1.1.1","1.1.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/Rcpp"
"RcppArmadillo","15.2.3-1","15.2.3-1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/RcppArmadillo"
"RcppEigen","0.3.4.0.2","0.3.4.0.2","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/RcppEigen"
"Rdpack","2.6.5","2.6.5","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/Rdpack"
"S7","0.2.1","0.2.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/S7"
"backports","1.5.0","1.5.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/backports"
"bit","4.6.0","4.6.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/bit"
"bit64","4.6.0-1","4.6.0-1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/bit64"
"boot","1.3-32","1.3-32","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/boot"
"broom","1.0.12","1.0.12","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/broom"
"cli","3.6.5","3.6.5","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/cli"
"clipr","0.8.0","0.8.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/clipr"
"codetools","0.2-20","0.2-20","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/codetools"
"cpp11","0.5.3","0.5.3","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/cpp11"
"crayon","1.5.3","1.5.3","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/crayon"
"dplyr","1.1.4","1.1.4","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/dplyr"
"farver","2.1.2","2.1.2","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/farver"
"forcats","1.0.1","1.0.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/forcats"
"foreach","1.5.2","1.5.2","/private/tmp/nhanes-v03-reproduce.zH64jt/.Rlib/foreach"
"generics","0.1.4","0.1.4","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/generics"
"ggplot2","4.0.1","4.0.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/ggplot2"
"glmnet","5.0","5.0","/private/tmp/nhanes-v03-reproduce.zH64jt/.Rlib/glmnet"
"glue","1.8.0","1.8.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/glue"
"gtable","0.3.6","0.3.6","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/gtable"
"haven","2.5.5","2.5.5","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/haven"
"hms","1.1.4","1.1.4","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/hms"
"isoband","0.3.0","0.3.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/isoband"
"iterators","1.0.14","1.0.14","/private/tmp/nhanes-v03-reproduce.zH64jt/.Rlib/iterators"
"jomo","2.7-6","2.7-6","/private/tmp/nhanes-v03-reproduce.zH64jt/.Rlib/jomo"
"jsonlite","2.0.0","2.0.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/jsonlite"
"labeling","0.4.3","0.4.3","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/labeling"
"lattice","0.22-7","0.22-7","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/lattice"
"lifecycle","1.0.5","1.0.5","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/lifecycle"
"lme4","1.1-38","1.1-38","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/lme4"
"magrittr","2.0.4","2.0.4","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/magrittr"
"mice","3.19.0","3.19.0","/private/tmp/nhanes-v03-reproduce.zH64jt/.Rlib/mice"
"minqa","1.2.8","1.2.8","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/minqa"
"mitml","0.4-5","0.4-5","/private/tmp/nhanes-v03-reproduce.zH64jt/.Rlib/mitml"
"mitools","2.7","2.7","/private/tmp/nhanes-v03-reproduce.zH64jt/.Rlib/mitools"
"nlme","3.1-168","3.1-168","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/nlme"
"nloptr","2.2.1","2.2.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/nloptr"
"nnet","7.3-20","7.3-20","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/nnet"
"numDeriv","2016.8-1.1","2016.8-1.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/numDeriv"
"ordinal","2026.7-26","2026.7-26","/private/tmp/nhanes-v03-reproduce.zH64jt/.Rlib/ordinal"
"pan","2.0","2.0","/private/tmp/nhanes-v03-reproduce.zH64jt/.Rlib/pan"
"pillar","1.11.1","1.11.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/pillar"
"pkgconfig","2.0.3","2.0.3","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/pkgconfig"
"prettyunits","1.2.0","1.2.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/prettyunits"
"progress","1.2.3","1.2.3","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/progress"
"purrr","1.2.1","1.2.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/purrr"
"rbibutils","2.4.1","2.4.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/rbibutils"
"readr","2.1.6","2.1.6","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/readr"
"reformulas","0.4.3.1","0.4.3.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/reformulas"
"rlang","1.1.7","1.1.7","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/rlang"
"rpart","4.1.24","4.1.24","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/rpart"
"scales","1.4.0","1.4.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/scales"
"shape","1.4.6.1","1.4.6.1","/private/tmp/nhanes-v03-reproduce.zH64jt/.Rlib/shape"
"stringi","1.8.7","1.8.7","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/stringi"
"stringr","1.6.0","1.6.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/stringr"
"survey","4.5","4.5","/private/tmp/nhanes-v03-reproduce.zH64jt/.Rlib/survey"
"survival","3.8-6","3.8-6","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/survival"
"tibble","3.3.1","3.3.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/tibble"
"tidyr","1.3.2","1.3.2","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/tidyr"
"tidyselect","1.2.1","1.2.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/tidyselect"
"tzdb","0.5.0","0.5.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/tzdb"
"ucminf","1.2.3","1.2.3","/private/tmp/nhanes-v03-reproduce.zH64jt/.Rlib/ucminf"
"utf8","1.2.6","1.2.6","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/utf8"
"vctrs","0.7.1","0.7.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/vctrs"
"viridisLite","0.4.2","0.4.2","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/viridisLite"
"vroom","1.7.0","1.7.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/vroom"
"withr","3.0.2","3.0.2","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library/withr"
