analysis,cycle,ra,outcome,variable,n,missing_n,missing_pct,weighted_missing_pct
primary,all,0,0,age,39847,0,0.0,0.0
primary,all,0,0,sex,39847,0,0.0,0.0
primary,all,0,0,race,39847,0,0.0,0.0
primary,all,0,0,education,39847,59,0.1480663538032976,0.11153545513341191
primary,all,0,0,pir,39847,3527,8.851356438376792,7.274947469210217
primary,all,0,0,smoke,39847,36,0.0903455718121816,0.06196910704005366
primary,all,0,1,age,3135,0,0.0,0.0
primary,all,0,1,sex,3135,0,0.0,0.0
primary,all,0,1,race,3135,0,0.0,0.0
primary,all,0,1,education,3135,5,0.1594896331738437,0.06453280297226217
primary,all,0,1,pir,3135,254,8.102073365231261,6.904980658798901
primary,all,0,1,smoke,3135,2,0.06379585326953748,0.044591871368222916
primary,all,1,0,age,2198,0,0.0,0.0
primary,all,1,0,sex,2198,0,0.0,0.0
primary,all,1,0,race,2198,0,0.0,0.0
primary,all,1,0,education,2198,4,0.18198362147406735,0.08702990005070686
primary,all,1,0,pir,2198,193,8.780709736123748,7.732017387682443
primary,all,1,0,smoke,2198,3,0.13648771610555052,0.07200210029376676
primary,all,1,1,age,378,0,0.0,0.0
primary,all,1,1,sex,378,0,0.0,0.0
primary,all,1,1,race,378,0,0.0,0.0
primary,all,1,1,education,378,2,0.5291005291005291,0.2397266363753591
primary,all,1,1,pir,378,36,9.523809523809524,6.914771821964035
primary,all,1,1,smoke,378,1,0.26455026455026454,0.19810345481914707
primary,2001,0,0,age,4328,0,0.0,0.0
primary,2001,0,0,sex,4328,0,0.0,0.0
primary,2001,0,0,race,4328,0,0.0,0.0
primary,2001,0,0,education,4328,12,0.27726432532347506,0.2774162828193828
primary,2001,0,0,pir,4328,336,7.763401109057301,6.742308517769599
primary,2001,0,0,smoke,4328,8,0.18484288354898337,0.15477265677943783
primary,2001,0,1,age,270,0,0.0,0.0
primary,2001,0,1,sex,270,0,0.0,0.0
primary,2001,0,1,race,270,0,0.0,0.0
primary,2001,0,1,education,270,0,0.0,0.0
primary,2001,0,1,pir,270,18,6.666666666666667,8.049613905700133
primary,2001,0,1,smoke,270,0,0.0,0.0
primary,2001,1,0,age,256,0,0.0,0.0
primary,2001,1,0,sex,256,0,0.0,0.0
primary,2001,1,0,race,256,0,0.0,0.0
primary,2001,1,0,education,256,2,0.78125,0.5240776750240627
primary,2001,1,0,pir,256,25,9.765625,9.009255028181858
primary,2001,1,0,smoke,256,2,0.78125,0.5240776750240627
primary,2001,1,1,age,26,0,0.0,0.0
primary,2001,1,1,sex,26,0,0.0,0.0
primary,2001,1,1,race,26,0,0.0,0.0
primary,2001,1,1,education,26,0,0.0,0.0
primary,2001,1,1,pir,26,1,3.8461538461538463,2.0926878129347766
primary,2001,1,1,smoke,26,0,0.0,0.0
primary,2003,0,0,age,3974,0,0.0,0.0
primary,2003,0,0,sex,3974,0,0.0,0.0
primary,2003,0,0,race,3974,0,0.0,0.0
primary,2003,0,0,education,3974,9,0.22647206844489182,0.09634656073651374
primary,2003,0,0,pir,3974,234,5.888273779567187,5.638542089365656
primary,2003,0,0,smoke,3974,5,0.12581781580271767,0.04733977757497545
primary,2003,0,1,age,288,0,0.0,0.0
primary,2003,0,1,sex,288,0,0.0,0.0
primary,2003,0,1,race,288,0,0.0,0.0
primary,2003,0,1,education,288,0,0.0,0.0
primary,2003,0,1,pir,288,15,5.208333333333334,4.532986265533514
primary,2003,0,1,smoke,288,0,0.0,0.0
primary,2003,1,0,age,231,0,0.0,0.0
primary,2003,1,0,sex,231,0,0.0,0.0
primary,2003,1,0,race,231,0,0.0,0.0
primary,2003,1,0,education,231,1,0.4329004329004329,0.14425129162509784
primary,2003,1,0,pir,231,12,5.194805194805195,6.552040087387424
primary,2003,1,0,smoke,231,0,0.0,0.0
primary,2003,1,1,age,39,0,0.0,0.0
primary,2003,1,1,sex,39,0,0.0,0.0
primary,2003,1,1,race,39,0,0.0,0.0
primary,2003,1,1,education,39,0,0.0,0.0
primary,2003,1,1,pir,39,2,5.128205128205128,2.60604634803285
primary,2003,1,1,smoke,39,0,0.0,0.0
primary,2005,0,0,age,3943,0,0.0,0.0
primary,2005,0,0,sex,3943,0,0.0,0.0
primary,2005,0,0,race,3943,0,0.0,0.0
primary,2005,0,0,education,3943,6,0.1521683996956632,0.14257183707265295
