"analysis","cycle","ra","model_proportion","direct_proportion","error"
"primary",0,0,0.0755438264932251,0.0755438264932236,1.49880108324396e-15
"primary",0,1,0.155860896605699,0.155860896605637,6.22557561058557e-14
"primary",2001,0,0.0684447164783248,0.0684447164783055,1.92484916894387e-14
"primary",2001,1,0.118022446352487,0.118022446352486,2.35922392732846e-16
"primary",2003,0,0.0698261124965575,0.0698261124965373,2.0122792321331e-14
"primary",2003,1,0.138636674491126,0.138636674487399,3.72740727172527e-12
"primary",2005,0,0.0766010140390655,0.076601014039065,5.13478148889135e-16
"primary",2005,1,0.15238285918622,0.15238285918621,1.04360964314765e-14
"primary",2007,0,0.0689316165067582,0.0689316165067262,3.19605453213967e-14
"primary",2007,1,0.155700805666536,0.155700805666534,1.47104550762833e-15
"primary",2009,0,0.06481275661559,0.0648127566153066,2.83384427035571e-13
"primary",2009,1,0.152520102945977,0.152520102945966,1.02140518265514e-14
"primary",2011,0,0.0800070451872358,0.0800070451872354,3.7470027081099e-16
"primary",2011,1,0.172735077224247,0.172735077189402,3.48455986287632e-11
"primary",2013,0,0.0836297237248585,0.0836297237248582,2.77555756156289e-16
"primary",2013,1,0.201991386997758,0.201991386902508,9.52507239748712e-11
"primary",2015,0,0.0813356411020646,0.0813356411020646,1.38777878078145e-17
"primary",2015,1,0.17292621040812,0.172926210407447,6.72739641771614e-13
"primary",2017,0,0.0829466872741025,0.0829466851626704,2.11143208472819e-09
"primary",2017,1,0.138729386985904,0.138729386985904,1.38777878078145e-16
"ever20",0,0,0.132967809697571,0.132967809696895,6.75959288543027e-13
"ever20",0,1,0.208824712979793,0.208824712949225,3.05677150258532e-11
"ever20",1999,0,0.110305431272937,0.11030543127288,5.73291414340815e-14
"ever20",1999,1,0.17091551242823,0.170915512413033,1.51962609162837e-11
"ever20",2001,0,0.110293732894152,0.110293732893945,2.06598627094934e-13
"ever20",2001,1,0.167537846984649,0.167537846980879,3.76940145763172e-12
"ever20",2003,0,0.120405304090936,0.120405304090931,5.34294830600857e-15
"ever20",2003,1,0.17888972176788,0.178889721766218,1.66250346822494e-12
"ever20",2005,0,0.137967759622855,0.137967758261609,1.36124642113877e-09
"ever20",2005,1,0.181961079877364,0.181961079875429,1.93464688713618e-12
"ever20",2007,0,0.13479160591225,0.134791605880045,3.22045168310581e-11
"ever20",2007,1,0.211077245902803,0.211077245897527,5.27608512435052e-12
"ever20",2009,0,0.125924298347087,0.125924298347083,4.35762537165374e-15
"ever20",2009,1,0.189394809302871,0.189394809301141,1.73014380600023e-12
"ever20",2011,0,0.143990627992956,0.143990627992953,3.08086889333481e-15
"ever20",2011,1,0.269260924774189,0.269260924550295,2.23894069950603e-10
"ever20",2013,0,0.146093999152765,0.146093997214681,1.93808410986485e-09
"ever20",2013,1,0.268551078847297,0.268551078754617,9.26795862277174e-11
"ever20",2015,0,0.147237539790069,0.147237539790066,2.55351295663786e-15
"ever20",2015,1,0.229875091881836,0.229875091851546,3.02905200921799e-11
"ever20",2017,0,0.14328305673154,0.143283056731539,1.60982338570648e-15
"ever20",2017,1,0.226938868606856,0.226938868604244,2.61193844330876e-12
