"variable","iteration","chain","mean"
"ra","1","Chain 1",NA
"asthma_aux","1","Chain 1",NA
"age1","1","Chain 1",NA
"age2","1","Chain 1",NA
"age3","1","Chain 1",NA
"sex","1","Chain 1",NA
"race","1","Chain 1",NA
"education","1","Chain 1",2.97674418604651
"pir","1","Chain 1",2.37199015621657
"smoke","1","Chain 1",1.56603773584906
"logweight","1","Chain 1",NA
"cycle2001","1","Chain 1",NA
"cycle2003","1","Chain 1",NA
"cycle2005","1","Chain 1",NA
"cycle2007","1","Chain 1",NA
"cycle2009","1","Chain 1",NA
"cycle2011","1","Chain 1",NA
"cycle2013","1","Chain 1",NA
"cycle2015","1","Chain 1",NA
"cycle2017","1","Chain 1",NA
"stratum2","1","Chain 1",NA
"stratum3","1","Chain 1",NA
"stratum4","1","Chain 1",NA
"stratum5","1","Chain 1",NA
"stratum6","1","Chain 1",NA
"stratum7","1","Chain 1",NA
"stratum8","1","Chain 1",NA
"stratum9","1","Chain 1",NA
"stratum10","1","Chain 1",NA
"stratum11","1","Chain 1",NA
"stratum12","1","Chain 1",NA
"stratum13","1","Chain 1",NA
"stratum14","1","Chain 1",NA
"stratum15","1","Chain 1",NA
"stratum16","1","Chain 1",NA
"stratum17","1","Chain 1",NA
"stratum18","1","Chain 1",NA
"stratum19","1","Chain 1",NA
"stratum20","1","Chain 1",NA
"stratum21","1","Chain 1",NA
"stratum22","1","Chain 1",NA
"stratum23","1","Chain 1",NA
"stratum24","1","Chain 1",NA
"stratum25","1","Chain 1",NA
"stratum26","1","Chain 1",NA
"stratum27","1","Chain 1",NA
"stratum29","1","Chain 1",NA
"stratum30","1","Chain 1",NA
"stratum31","1","Chain 1",NA
"stratum32","1","Chain 1",NA
"stratum33","1","Chain 1",NA
"stratum34","1","Chain 1",NA
"stratum35","1","Chain 1",NA
"stratum36","1","Chain 1",NA
"stratum37","1","Chain 1",NA
"stratum38","1","Chain 1",NA
"stratum39","1","Chain 1",NA
"stratum40","1","Chain 1",NA
"stratum41","1","Chain 1",NA
"stratum42","1","Chain 1",NA
"stratum44","1","Chain 1",NA
"stratum45","1","Chain 1",NA
"stratum46","1","Chain 1",NA
"stratum47","1","Chain 1",NA
"stratum48","1","Chain 1",NA
"stratum49","1","Chain 1",NA
"stratum50","1","Chain 1",NA
"stratum51","1","Chain 1",NA
"stratum52","1","Chain 1",NA
"stratum53","1","Chain 1",NA
"stratum54","1","Chain 1",NA
"stratum55","1","Chain 1",NA
"stratum56","1","Chain 1",NA
"stratum57","1","Chain 1",NA
"stratum59","1","Chain 1",NA
"stratum60","1","Chain 1",NA
"stratum61","1","Chain 1",NA
"stratum62","1","Chain 1",NA
"stratum63","1","Chain 1",NA
"stratum64","1","Chain 1",NA
"stratum65","1","Chain 1",NA
"stratum66","1","Chain 1",NA
"stratum67","1","Chain 1",NA
"stratum68","1","Chain 1",NA
"stratum69","1","Chain 1",NA
"stratum70","1","Chain 1",NA
"stratum71","1","Chain 1",NA
"stratum72","1","Chain 1",NA
"stratum73","1","Chain 1",NA
"stratum75","1","Chain 1",NA
"stratum76","1","Chain 1",NA
"stratum77","1","Chain 1",NA
"stratum78","1","Chain 1",NA
"stratum79","1","Chain 1",NA
"stratum80","1","Chain 1",NA
"stratum81","1","Chain 1",NA
"stratum82","1","Chain 1",NA
"stratum83","1","Chain 1",NA
"stratum84","1","Chain 1",NA
"stratum85","1","Chain 1",NA
"stratum86","1","Chain 1",NA
"stratum87","1","Chain 1",NA
"stratum88","1","Chain 1",NA
"stratum90","1","Chain 1",NA
"stratum91","1","Chain 1",NA
"stratum92","1","Chain 1",NA
"stratum93","1","Chain 1",NA
"stratum94","1","Chain 1",NA
"stratum95","1","Chain 1",NA
"stratum96","1","Chain 1",NA
"stratum97","1","Chain 1",NA
"stratum98","1","Chain 1",NA
"stratum99","1","Chain 1",NA
"stratum100","1","Chain 1",NA
"stratum101","1","Chain 1",NA
"stratum102","1","Chain 1",NA
"stratum104","1","Chain 1",NA
"stratum105","1","Chain 1",NA
"stratum106","1","Chain 1",NA
"stratum107","1","Chain 1",NA
"stratum108","1","Chain 1",NA
"stratum109","1","Chain 1",NA
"stratum110","1","Chain 1",NA
"stratum111","1","Chain 1",NA
"stratum112","1","Chain 1",NA
"stratum113","1","Chain 1",NA
"stratum114","1","Chain 1",NA
"stratum115","1","Chain 1",NA
"stratum116","1","Chain 1",NA
"stratum117","1","Chain 1",NA
"stratum119","1","Chain 1",NA
"stratum120","1","Chain 1",NA
"stratum121","1","Chain 1",NA
"stratum122","1","Chain 1",NA
"stratum123","1","Chain 1",NA
"stratum124","1","Chain 1",NA
"stratum125","1","Chain 1",NA
"stratum126","1","Chain 1",NA
"stratum127","1","Chain 1",NA
"stratum128","1","Chain 1",NA
"stratum129","1","Chain 1",NA
"stratum130","1","Chain 1",NA
"stratum131","1","Chain 1",NA
"stratum132","1","Chain 1",NA
"stratum134","1","Chain 1",NA
"stratum135","1","Chain 1",NA
"stratum136","1","Chain 1",NA
"stratum137","1","Chain 1",NA
"stratum138","1","Chain 1",NA
"stratum139","1","Chain 1",NA
"stratum140","1","Chain 1",NA
"stratum141","1","Chain 1",NA
"stratum142","1","Chain 1",NA
"stratum143","1","Chain 1",NA
"stratum144","1","Chain 1",NA
"stratum145","1","Chain 1",NA
"stratum146","1","Chain 1",NA
"stratum147","1","Chain 1",NA
"psu2","1","Chain 1",NA
"psu3","1","Chain 1",NA
"ra","2","Chain 1",NA
"asthma_aux","2","Chain 1",NA
"age1","2","Chain 1",NA
"age2","2","Chain 1",NA
"age3","2","Chain 1",NA
"sex","2","Chain 1",NA
"race","2","Chain 1",NA
"education","2","Chain 1",3.13953488372093
"pir","2","Chain 1",2.33776802910336
"smoke","2","Chain 1",1.64150943396226
"logweight","2","Chain 1",NA
"cycle2001","2","Chain 1",NA
"cycle2003","2","Chain 1",NA
"cycle2005","2","Chain 1",NA
"cycle2007","2","Chain 1",NA
"cycle2009","2","Chain 1",NA
"cycle2011","2","Chain 1",NA
"cycle2013","2","Chain 1",NA
"cycle2015","2","Chain 1",NA
"cycle2017","2","Chain 1",NA
"stratum2","2","Chain 1",NA
"stratum3","2","Chain 1",NA
"stratum4","2","Chain 1",NA
"stratum5","2","Chain 1",NA
"stratum6","2","Chain 1",NA
"stratum7","2","Chain 1",NA
"stratum8","2","Chain 1",NA
"stratum9","2","Chain 1",NA
"stratum10","2","Chain 1",NA
"stratum11","2","Chain 1",NA
"stratum12","2","Chain 1",NA
"stratum13","2","Chain 1",NA
"stratum14","2","Chain 1",NA
"stratum15","2","Chain 1",NA
"stratum16","2","Chain 1",NA
"stratum17","2","Chain 1",NA
"stratum18","2","Chain 1",NA
"stratum19","2","Chain 1",NA
"stratum20","2","Chain 1",NA
"stratum21","2","Chain 1",NA
"stratum22","2","Chain 1",NA
"stratum23","2","Chain 1",NA
"stratum24","2","Chain 1",NA
"stratum25","2","Chain 1",NA
"stratum26","2","Chain 1",NA
"stratum27","2","Chain 1",NA
"stratum29","2","Chain 1",NA
"stratum30","2","Chain 1",NA
"stratum31","2","Chain 1",NA
"stratum32","2","Chain 1",NA
"stratum33","2","Chain 1",NA
"stratum34","2","Chain 1",NA
"stratum35","2","Chain 1",NA
"stratum36","2","Chain 1",NA
"stratum37","2","Chain 1",NA
"stratum38","2","Chain 1",NA
"stratum39","2","Chain 1",NA
"stratum40","2","Chain 1",NA
"stratum41","2","Chain 1",NA
"stratum42","2","Chain 1",NA
"stratum44","2","Chain 1",NA
"stratum45","2","Chain 1",NA
"stratum46","2","Chain 1",NA
"stratum47","2","Chain 1",NA
"stratum48","2","Chain 1",NA
"stratum49","2","Chain 1",NA
"stratum50","2","Chain 1",NA
"stratum51","2","Chain 1",NA
"stratum52","2","Chain 1",NA
"stratum53","2","Chain 1",NA
"stratum54","2","Chain 1",NA
"stratum55","2","Chain 1",NA
"stratum56","2","Chain 1",NA
"stratum57","2","Chain 1",NA
"stratum59","2","Chain 1",NA
"stratum60","2","Chain 1",NA
"stratum61","2","Chain 1",NA
"stratum62","2","Chain 1",NA
"stratum63","2","Chain 1",NA
"stratum64","2","Chain 1",NA
"stratum65","2","Chain 1",NA
"stratum66","2","Chain 1",NA
"stratum67","2","Chain 1",NA
"stratum68","2","Chain 1",NA
"stratum69","2","Chain 1",NA
"stratum70","2","Chain 1",NA
"stratum71","2","Chain 1",NA
"stratum72","2","Chain 1",NA
"stratum73","2","Chain 1",NA
"stratum75","2","Chain 1",NA
"stratum76","2","Chain 1",NA
"stratum77","2","Chain 1",NA
"stratum78","2","Chain 1",NA
"stratum79","2","Chain 1",NA
"stratum80","2","Chain 1",NA
"stratum81","2","Chain 1",NA
"stratum82","2","Chain 1",NA
"stratum83","2","Chain 1",NA
"stratum84","2","Chain 1",NA
"stratum85","2","Chain 1",NA
"stratum86","2","Chain 1",NA
"stratum87","2","Chain 1",NA
"stratum88","2","Chain 1",NA
"stratum90","2","Chain 1",NA
"stratum91","2","Chain 1",NA
"stratum92","2","Chain 1",NA
"stratum93","2","Chain 1",NA
"stratum94","2","Chain 1",NA
"stratum95","2","Chain 1",NA
"stratum96","2","Chain 1",NA
"stratum97","2","Chain 1",NA
"stratum98","2","Chain 1",NA
"stratum99","2","Chain 1",NA
"stratum100","2","Chain 1",NA
"stratum101","2","Chain 1",NA
"stratum102","2","Chain 1",NA
"stratum104","2","Chain 1",NA
"stratum105","2","Chain 1",NA
"stratum106","2","Chain 1",NA
"stratum107","2","Chain 1",NA
"stratum108","2","Chain 1",NA
"stratum109","2","Chain 1",NA
"stratum110","2","Chain 1",NA
"stratum111","2","Chain 1",NA
"stratum112","2","Chain 1",NA
"stratum113","2","Chain 1",NA
"stratum114","2","Chain 1",NA
"stratum115","2","Chain 1",NA
"stratum116","2","Chain 1",NA
"stratum117","2","Chain 1",NA
"stratum119","2","Chain 1",NA
"stratum120","2","Chain 1",NA
"stratum121","2","Chain 1",NA
"stratum122","2","Chain 1",NA
"stratum123","2","Chain 1",NA
"stratum124","2","Chain 1",NA
"stratum125","2","Chain 1",NA
"stratum126","2","Chain 1",NA
"stratum127","2","Chain 1",NA
"stratum128","2","Chain 1",NA
"stratum129","2","Chain 1",NA
"stratum130","2","Chain 1",NA
"stratum131","2","Chain 1",NA
"stratum132","2","Chain 1",NA
"stratum134","2","Chain 1",NA
"stratum135","2","Chain 1",NA
"stratum136","2","Chain 1",NA
"stratum137","2","Chain 1",NA
"stratum138","2","Chain 1",NA
"stratum139","2","Chain 1",NA
"stratum140","2","Chain 1",NA
"stratum141","2","Chain 1",NA
"stratum142","2","Chain 1",NA
"stratum143","2","Chain 1",NA
"stratum144","2","Chain 1",NA
"stratum145","2","Chain 1",NA
"stratum146","2","Chain 1",NA
"stratum147","2","Chain 1",NA
"psu2","2","Chain 1",NA
"psu3","2","Chain 1",NA
"ra","3","Chain 1",NA
"asthma_aux","3","Chain 1",NA
"age1","3","Chain 1",NA
"age2","3","Chain 1",NA
"age3","3","Chain 1",NA
"sex","3","Chain 1",NA
"race","3","Chain 1",NA
"education","3","Chain 1",2.80232558139535
"pir","3","Chain 1",2.33830943719238
"smoke","3","Chain 1",1.64150943396226
"logweight","3","Chain 1",NA
"cycle2001","3","Chain 1",NA
"cycle2003","3","Chain 1",NA
"cycle2005","3","Chain 1",NA
"cycle2007","3","Chain 1",NA
"cycle2009","3","Chain 1",NA
"cycle2011","3","Chain 1",NA
"cycle2013","3","Chain 1",NA
"cycle2015","3","Chain 1",NA
"cycle2017","3","Chain 1",NA
"stratum2","3","Chain 1",NA
"stratum3","3","Chain 1",NA
"stratum4","3","Chain 1",NA
"stratum5","3","Chain 1",NA
"stratum6","3","Chain 1",NA
"stratum7","3","Chain 1",NA
"stratum8","3","Chain 1",NA
"stratum9","3","Chain 1",NA
"stratum10","3","Chain 1",NA
"stratum11","3","Chain 1",NA
"stratum12","3","Chain 1",NA
"stratum13","3","Chain 1",NA
"stratum14","3","Chain 1",NA
"stratum15","3","Chain 1",NA
"stratum16","3","Chain 1",NA
"stratum17","3","Chain 1",NA
"stratum18","3","Chain 1",NA
"stratum19","3","Chain 1",NA
"stratum20","3","Chain 1",NA
"stratum21","3","Chain 1",NA
"stratum22","3","Chain 1",NA
"stratum23","3","Chain 1",NA
"stratum24","3","Chain 1",NA
"stratum25","3","Chain 1",NA
