"term","retained"
"(Intercept)",TRUE
"cycle2001",TRUE
"cycle2003",TRUE
"cycle2005",TRUE
"cycle2007",TRUE
"cycle2009",TRUE
"cycle2011",TRUE
"cycle2013",TRUE
"cycle2015",TRUE
"cycle2017",TRUE
"stratum2",TRUE
"stratum3",TRUE
"stratum4",TRUE
"stratum5",TRUE
"stratum6",TRUE
"stratum7",TRUE
"stratum8",TRUE
"stratum9",TRUE
"stratum10",TRUE
"stratum11",TRUE
"stratum12",TRUE
"stratum13",TRUE
"stratum14",TRUE
"stratum15",TRUE
"stratum16",TRUE
"stratum17",TRUE
"stratum18",TRUE
"stratum19",TRUE
"stratum20",TRUE
"stratum21",TRUE
"stratum22",TRUE
"stratum23",TRUE
"stratum24",TRUE
"stratum25",TRUE
"stratum26",TRUE
"stratum27",TRUE
"stratum28",FALSE
"stratum29",TRUE
"stratum30",TRUE
"stratum31",TRUE
"stratum32",TRUE
"stratum33",TRUE
"stratum34",TRUE
"stratum35",TRUE
"stratum36",TRUE
"stratum37",TRUE
"stratum38",TRUE
"stratum39",TRUE
"stratum40",TRUE
"stratum41",TRUE
"stratum42",TRUE
"stratum43",FALSE
"stratum44",TRUE
"stratum45",TRUE
"stratum46",TRUE
"stratum47",TRUE
"stratum48",TRUE
"stratum49",TRUE
"stratum50",TRUE
"stratum51",TRUE
"stratum52",TRUE
"stratum53",TRUE
"stratum54",TRUE
"stratum55",TRUE
"stratum56",TRUE
"stratum57",TRUE
"stratum58",FALSE
"stratum59",TRUE
"stratum60",TRUE
"stratum61",TRUE
"stratum62",TRUE
"stratum63",TRUE
"stratum64",TRUE
"stratum65",TRUE
"stratum66",TRUE
"stratum67",TRUE
"stratum68",TRUE
"stratum69",TRUE
"stratum70",TRUE
"stratum71",TRUE
"stratum72",TRUE
"stratum73",TRUE
"stratum74",FALSE
"stratum75",TRUE
"stratum76",TRUE
"stratum77",TRUE
"stratum78",TRUE
"stratum79",TRUE
"stratum80",TRUE
"stratum81",TRUE
"stratum82",TRUE
"stratum83",TRUE
"stratum84",TRUE
"stratum85",TRUE
"stratum86",TRUE
"stratum87",TRUE
"stratum88",TRUE
"stratum89",FALSE
"stratum90",TRUE
"stratum91",TRUE
"stratum92",TRUE
"stratum93",TRUE
"stratum94",TRUE
"stratum95",TRUE
"stratum96",TRUE
"stratum97",TRUE
"stratum98",TRUE
"stratum99",TRUE
"stratum100",TRUE
"stratum101",TRUE
"stratum102",TRUE
"stratum103",FALSE
"stratum104",TRUE
"stratum105",TRUE
"stratum106",TRUE
"stratum107",TRUE
"stratum108",TRUE
"stratum109",TRUE
"stratum110",TRUE
"stratum111",TRUE
"stratum112",TRUE
"stratum113",TRUE
"stratum114",TRUE
"stratum115",TRUE
"stratum116",TRUE
"stratum117",TRUE
"stratum118",FALSE
"stratum119",TRUE
"stratum120",TRUE
"stratum121",TRUE
"stratum122",TRUE
"stratum123",TRUE
"stratum124",TRUE
"stratum125",TRUE
"stratum126",TRUE
"stratum127",TRUE
"stratum128",TRUE
"stratum129",TRUE
"stratum130",TRUE
"stratum131",TRUE
"stratum132",TRUE
"stratum133",FALSE
"stratum134",TRUE
"stratum135",TRUE
"stratum136",TRUE
"stratum137",TRUE
"stratum138",TRUE
"stratum139",TRUE
"stratum140",TRUE
"stratum141",TRUE
"stratum142",TRUE
"stratum143",TRUE
"stratum144",TRUE
"stratum145",TRUE
"stratum146",TRUE
"stratum147",TRUE
"stratum148",FALSE
"psu2",TRUE
"psu3",TRUE
