"variable","iteration","chain","mean"
"ra","1","Chain 1",NA
"asthma_aux","1","Chain 1",NA
"age1","1","Chain 1",NA
"age2","1","Chain 1",NA
"age3","1","Chain 1",NA
"sex","1","Chain 1",NA
"race","1","Chain 1",NA
"education","1","Chain 1",1.18604651162791
"pir","1","Chain 1",0.752330408731015
"smoke","1","Chain 1",1
"cycle","1","Chain 1",NA
"stratum","1","Chain 1",NA
"psu","1","Chain 1",NA
"logweight","1","Chain 1",NA
"ra","2","Chain 1",NA
"asthma_aux","2","Chain 1",NA
"age1","2","Chain 1",NA
"age2","2","Chain 1",NA
"age3","2","Chain 1",NA
"sex","2","Chain 1",NA
"race","2","Chain 1",NA
"education","2","Chain 1",1
"pir","2","Chain 1",4.81275411940937
"smoke","2","Chain 1",1
"cycle","2","Chain 1",NA
"stratum","2","Chain 1",NA
"psu","2","Chain 1",NA
"logweight","2","Chain 1",NA
"ra","3","Chain 1",NA
"asthma_aux","3","Chain 1",NA
"age1","3","Chain 1",NA
"age2","3","Chain 1",NA
"age3","3","Chain 1",NA
"sex","3","Chain 1",NA
"race","3","Chain 1",NA
"education","3","Chain 1",5
"pir","3","Chain 1",4.80184035951209
"smoke","3","Chain 1",2
"cycle","3","Chain 1",NA
"stratum","3","Chain 1",NA
"psu","3","Chain 1",NA
"logweight","3","Chain 1",NA
"ra","4","Chain 1",NA
"asthma_aux","4","Chain 1",NA
"age1","4","Chain 1",NA
"age2","4","Chain 1",NA
"age3","4","Chain 1",NA
"sex","4","Chain 1",NA
"race","4","Chain 1",NA
"education","4","Chain 1",4.96511627906977
"pir","4","Chain 1",0.777378557671741
"smoke","4","Chain 1",2.0377358490566
"cycle","4","Chain 1",NA
"stratum","4","Chain 1",NA
"psu","4","Chain 1",NA
"logweight","4","Chain 1",NA
"ra","5","Chain 1",NA
"asthma_aux","5","Chain 1",NA
"age1","5","Chain 1",NA
"age2","5","Chain 1",NA
"age3","5","Chain 1",NA
"sex","5","Chain 1",NA
"race","5","Chain 1",NA
"education","5","Chain 1",3.48837209302326
"pir","5","Chain 1",0.770368071902429
"smoke","5","Chain 1",1.86792452830189
"cycle","5","Chain 1",NA
"stratum","5","Chain 1",NA
"psu","5","Chain 1",NA
"logweight","5","Chain 1",NA
"ra","6","Chain 1",NA
"asthma_aux","6","Chain 1",NA
"age1","6","Chain 1",NA
"age2","6","Chain 1",NA
"age3","6","Chain 1",NA
"sex","6","Chain 1",NA
"race","6","Chain 1",NA
"education","6","Chain 1",5
"pir","6","Chain 1",0.771720522148523
"smoke","6","Chain 1",1.9811320754717
"cycle","6","Chain 1",NA
"stratum","6","Chain 1",NA
"psu","6","Chain 1",NA
"logweight","6","Chain 1",NA
"ra","7","Chain 1",NA
"asthma_aux","7","Chain 1",NA
"age1","7","Chain 1",NA
"age2","7","Chain 1",NA
"age3","7","Chain 1",NA
"sex","7","Chain 1",NA
"race","7","Chain 1",NA
"education","7","Chain 1",1
"pir","7","Chain 1",0.760727583993161
"smoke","7","Chain 1",1
"cycle","7","Chain 1",NA
"stratum","7","Chain 1",NA
"psu","7","Chain 1",NA
"logweight","7","Chain 1",NA
"ra","8","Chain 1",NA
"asthma_aux","8","Chain 1",NA
"age1","8","Chain 1",NA
"age2","8","Chain 1",NA
"age3","8","Chain 1",NA
"sex","8","Chain 1",NA
"race","8","Chain 1",NA
"education","8","Chain 1",5
"pir","8","Chain 1",1.52924031671302
"smoke","8","Chain 1",1.22641509433962
"cycle","8","Chain 1",NA
"stratum","8","Chain 1",NA
"psu","8","Chain 1",NA
"logweight","8","Chain 1",NA
"ra","9","Chain 1",NA
"asthma_aux","9","Chain 1",NA
"age1","9","Chain 1",NA
"age2","9","Chain 1",NA
"age3","9","Chain 1",NA
"sex","9","Chain 1",NA
"race","9","Chain 1",NA
"education","9","Chain 1",5
"pir","9","Chain 1",0.763316927027616
"smoke","9","Chain 1",2.05660377358491
"cycle","9","Chain 1",NA
"stratum","9","Chain 1",NA
"psu","9","Chain 1",NA
"logweight","9","Chain 1",NA
"ra","10","Chain 1",NA
"asthma_aux","10","Chain 1",NA
"age1","10","Chain 1",NA
"age2","10","Chain 1",NA
"age3","10","Chain 1",NA
"sex","10","Chain 1",NA
"race","10","Chain 1",NA
"education","10","Chain 1",5
"pir","10","Chain 1",0.776402739139747
"smoke","10","Chain 1",1
"cycle","10","Chain 1",NA
"stratum","10","Chain 1",NA
"psu","10","Chain 1",NA
"logweight","10","Chain 1",NA
"ra","1","Chain 2",NA
"asthma_aux","1","Chain 2",NA
"age1","1","Chain 2",NA
"age2","1","Chain 2",NA
"age3","1","Chain 2",NA
"sex","1","Chain 2",NA
"race","1","Chain 2",NA
"education","1","Chain 2",5
"pir","1","Chain 2",4.7967044725016
"smoke","1","Chain 2",1.71698113207547
"cycle","1","Chain 2",NA
"stratum","1","Chain 2",NA
"psu","1","Chain 2",NA
"logweight","1","Chain 2",NA
"ra","2","Chain 2",NA
"asthma_aux","2","Chain 2",NA
"age1","2","Chain 2",NA
"age2","2","Chain 2",NA
"age3","2","Chain 2",NA
"sex","2","Chain 2",NA
"race","2","Chain 2",NA
"education","2","Chain 2",5
"pir","2","Chain 2",0.768966402739149
"smoke","2","Chain 2",1
"cycle","2","Chain 2",NA
"stratum","2","Chain 2",NA
"psu","2","Chain 2",NA
"logweight","2","Chain 2",NA
"ra","3","Chain 2",NA
"asthma_aux","3","Chain 2",NA
"age1","3","Chain 2",NA
"age2","3","Chain 2",NA
"age3","3","Chain 2",NA
"sex","3","Chain 2",NA
"race","3","Chain 2",NA
"education","3","Chain 2",1
"pir","3","Chain 2",0.782535844211438
"smoke","3","Chain 2",2
"cycle","3","Chain 2",NA
"stratum","3","Chain 2",NA
"psu","3","Chain 2",NA
"logweight","3","Chain 2",NA
"ra","4","Chain 2",NA
"asthma_aux","4","Chain 2",NA
"age1","4","Chain 2",NA
"age2","4","Chain 2",NA
"age3","4","Chain 2",NA
"sex","4","Chain 2",NA
"race","4","Chain 2",NA
"education","4","Chain 2",2.31395348837209
"pir","4","Chain 2",4.80804622298309
"smoke","4","Chain 2",1.84905660377358
"cycle","4","Chain 2",NA
"stratum","4","Chain 2",NA
"psu","4","Chain 2",NA
"logweight","4","Chain 2",NA
"ra","5","Chain 2",NA
"asthma_aux","5","Chain 2",NA
"age1","5","Chain 2",NA
"age2","5","Chain 2",NA
"age3","5","Chain 2",NA
"sex","5","Chain 2",NA
"race","5","Chain 2",NA
"education","5","Chain 2",1.93023255813953
"pir","5","Chain 2",4.79520650545688
"smoke","5","Chain 2",1
"cycle","5","Chain 2",NA
"stratum","5","Chain 2",NA
"psu","5","Chain 2",NA
"logweight","5","Chain 2",NA
"ra","6","Chain 2",NA
"asthma_aux","6","Chain 2",NA
"age1","6","Chain 2",NA
"age2","6","Chain 2",NA
"age3","6","Chain 2",NA
"sex","6","Chain 2",NA
"race","6","Chain 2",NA
"education","6","Chain 2",1.90697674418605
"pir","6","Chain 2",4.7961545046009
"smoke","6","Chain 2",1
"cycle","6","Chain 2",NA
"stratum","6","Chain 2",NA
"psu","6","Chain 2",NA
"logweight","6","Chain 2",NA
"ra","7","Chain 2",NA
"asthma_aux","7","Chain 2",NA
"age1","7","Chain 2",NA
"age2","7","Chain 2",NA
"age3","7","Chain 2",NA
"sex","7","Chain 2",NA
"race","7","Chain 2",NA
"education","7","Chain 2",5
"pir","7","Chain 2",0.770098437834376
"smoke","7","Chain 2",1.90566037735849
"cycle","7","Chain 2",NA
"stratum","7","Chain 2",NA
"psu","7","Chain 2",NA
"logweight","7","Chain 2",NA
"ra","8","Chain 2",NA
"asthma_aux","8","Chain 2",NA
"age1","8","Chain 2",NA
"age2","8","Chain 2",NA
"age3","8","Chain 2",NA
"sex","8","Chain 2",NA
"race","8","Chain 2",NA
"education","8","Chain 2",1.7093023255814
"pir","8","Chain 2",1.23431842499465
"smoke","8","Chain 2",1.15094339622642
"cycle","8","Chain 2",NA
"stratum","8","Chain 2",NA
"psu","8","Chain 2",NA
"logweight","8","Chain 2",NA
"ra","9","Chain 2",NA
"asthma_aux","9","Chain 2",NA
"age1","9","Chain 2",NA
"age2","9","Chain 2",NA
"age3","9","Chain 2",NA
"sex","9","Chain 2",NA
"race","9","Chain 2",NA
"education","9","Chain 2",4.65116279069767
"pir","9","Chain 2",4.72155360582067
"smoke","9","Chain 2",1
"cycle","9","Chain 2",NA
"stratum","9","Chain 2",NA
"psu","9","Chain 2",NA
"logweight","9","Chain 2",NA
"ra","10","Chain 2",NA
"asthma_aux","10","Chain 2",NA
"age1","10","Chain 2",NA
"age2","10","Chain 2",NA
"age3","10","Chain 2",NA
"sex","10","Chain 2",NA
"race","10","Chain 2",NA
"education","10","Chain 2",2.09302325581395
"pir","10","Chain 2",0.776374919751775
"smoke","10","Chain 2",1.86792452830189
"cycle","10","Chain 2",NA
"stratum","10","Chain 2",NA
"psu","10","Chain 2",NA
"logweight","10","Chain 2",NA
"ra","1","Chain 3",NA
"asthma_aux","1","Chain 3",NA
"age1","1","Chain 3",NA
"age2","1","Chain 3",NA
"age3","1","Chain 3",NA
"sex","1","Chain 3",NA
"race","1","Chain 3",NA
"education","1","Chain 3",5
"pir","1","Chain 3",0.769251016477646
"smoke","1","Chain 3",1
"cycle","1","Chain 3",NA
"stratum","1","Chain 3",NA
"psu","1","Chain 3",NA
"logweight","1","Chain 3",NA
"ra","2","Chain 3",NA
"asthma_aux","2","Chain 3",NA
"age1","2","Chain 3",NA
"age2","2","Chain 3",NA
"age3","2","Chain 3",NA
"sex","2","Chain 3",NA
"race","2","Chain 3",NA
"education","2","Chain 3",5
"pir","2","Chain 3",0.787322918895794
"smoke","2","Chain 3",1
"cycle","2","Chain 3",NA
"stratum","2","Chain 3",NA
"psu","2","Chain 3",NA
"logweight","2","Chain 3",NA
"ra","3","Chain 3",NA
"asthma_aux","3","Chain 3",NA
"age1","3","Chain 3",NA
"age2","3","Chain 3",NA
"age3","3","Chain 3",NA
"sex","3","Chain 3",NA
"race","3","Chain 3",NA
"education","3","Chain 3",1.13953488372093
"pir","3","Chain 3",0.767643911833949
"smoke","3","Chain 3",2.18867924528302
"cycle","3","Chain 3",NA
"stratum","3","Chain 3",NA
"psu","3","Chain 3",NA
"logweight","3","Chain 3",NA
"ra","4","Chain 3",NA
"asthma_aux","4","Chain 3",NA
"age1","4","Chain 3",NA
"age2","4","Chain 3",NA
"age3","4","Chain 3",NA
"sex","4","Chain 3",NA
"race","4","Chain 3",NA
"education","4","Chain 3",1.74418604651163
"pir","4","Chain 3",0.759058420714752
"smoke","4","Chain 3",2.09433962264151
"cycle","4","Chain 3",NA
"stratum","4","Chain 3",NA
"psu","4","Chain 3",NA
"logweight","4","Chain 3",NA
"ra","5","Chain 3",NA
"asthma_aux","5","Chain 3",NA
"age1","5","Chain 3",NA
"age2","5","Chain 3",NA
"age3","5","Chain 3",NA
"sex","5","Chain 3",NA
"race","5","Chain 3",NA
"education","5","Chain 3",5
"pir","5","Chain 3",4.80776374919752
"smoke","5","Chain 3",1.86792452830189
"cycle","5","Chain 3",NA
"stratum","5","Chain 3",NA
"psu","5","Chain 3",NA
"logweight","5","Chain 3",NA
"ra","6","Chain 3",NA
"asthma_aux","6","Chain 3",NA
"age1","6","Chain 3",NA
"age2","6","Chain 3",NA
"age3","6","Chain 3",NA
"sex","6","Chain 3",NA
"race","6","Chain 3",NA
"education","6","Chain 3",5
"pir","6","Chain 3",4.72012625722234
"smoke","6","Chain 3",1.64150943396226
"cycle","6","Chain 3",NA
"stratum","6","Chain 3",NA
"psu","6","Chain 3",NA
"logweight","6","Chain 3",NA
"ra","7","Chain 3",NA
"asthma_aux","7","Chain 3",NA
"age1","7","Chain 3",NA
"age2","7","Chain 3",NA
"age3","7","Chain 3",NA
"sex","7","Chain 3",NA
"race","7","Chain 3",NA
"education","7","Chain 3",2.26744186046512
"pir","7","Chain 3",0.768247378557683
"smoke","7","Chain 3",1.9811320754717
"cycle","7","Chain 3",NA
"stratum","7","Chain 3",NA
"psu","7","Chain 3",NA
"logweight","7","Chain 3",NA
"ra","8","Chain 3",NA
"asthma_aux","8","Chain 3",NA
"age1","8","Chain 3",NA
"age2","8","Chain 3",NA
"age3","8","Chain 3",NA
"sex","8","Chain 3",NA
"race","8","Chain 3",NA
"education","8","Chain 3",5
