"","ra","asthma_aux","age1","age2","age3","sex","race","education","pir","smoke","cycle","stratum","psu","logweight"
"ra",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asthma_aux",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"age1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"age2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"age3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sex",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"race",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"education",1,1,1,1,1,1,1,0,1,1,1,1,1,1
"pir",1,1,1,1,1,1,1,1,0,1,1,1,1,1
"smoke",1,1,1,1,1,1,1,1,1,0,1,1,1,1
"cycle",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"stratum",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"psu",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"logweight",0,0,0,0,0,0,0,0,0,0,0,0,0,0
