analysis,cycle,ra,outcome,n,weight_sum
primary,all,0,0,39847,179209242.45150825
primary,all,0,1,3135,14644449.68373571
primary,all,1,0,2198,7316075.95481709
primary,all,1,1,378,1350832.0528779142
primary,2001,0,0,4328,18281252.006640777
primary,2001,0,1,270,1343189.3228415556
primary,2001,1,0,256,794848.2211212222
primary,2001,1,1,26,106363.17347044445
primary,2003,0,0,3974,18401779.522476554
primary,2003,0,1,288,1381381.206606
primary,2003,1,0,231,833541.7904013332
primary,2003,1,1,39,134158.79042533334
primary,2005,0,0,3943,18769204.602158446
primary,2005,0,1,310,1557008.5381194444
primary,2005,1,0,200,769124.2417628889
primary,2005,1,1,37,138271.56788822226
primary,2007,0,0,4572,19073454.388892666
primary,2007,0,1,327,1412102.5551966666
primary,2007,1,0,295,811113.5815815555
primary,2007,1,1,49,149580.90566344446
primary,2009,0,0,4894,19954685.82638
primary,2009,0,1,363,1382951.0666967777
primary,2009,1,0,268,787513.0486957778
primary,2009,1,1,46,141727.92968411112
primary,2011,0,0,4494,20691946.98435889
primary,2011,0,1,376,1799471.9728331112
primary,2011,1,0,210,744040.9831894444
primary,2011,1,1,38,155357.70116622222
primary,2013,0,0,4670,21065564.304747447
primary,2013,0,1,414,1922484.140445111
primary,2013,1,0,213,767549.1472637779
primary,2013,1,1,41,194281.50802766666
primary,2015,0,0,4619,21367611.087269336
primary,2015,0,1,385,1891820.8045945554
primary,2015,1,0,244,829276.8444477778
primary,2015,1,1,48,173386.82943833334
primary,2017,0,0,4353,21603743.728584155
primary,2017,0,1,402,1954040.076402487
primary,2017,1,0,281,979068.0963533127
primary,2017,1,1,54,157703.64711413643
ever20,all,0,0,41167,166163467.61139044
ever20,all,0,1,5901,25482782.054727912
ever20,all,1,0,2377,7073717.280831394
ever20,all,1,1,573,1867053.9952782854
ever20,1999,0,0,3589,14265119.5663458
ever20,1999,0,1,394,1768607.1391626
ever20,1999,1,0,315,868385.6509868
ever20,1999,1,1,52,179017.43517420004
ever20,2001,0,0,4163,16338279.1366532
ever20,2001,0,1,442,2025398.5631753998
ever20,2001,1,0,243,725046.0024096
ever20,2001,1,1,39,145919.7223144
ever20,2003,0,0,3784,15715836.2322166
ever20,2003,0,1,489,2151297.6935674003
ever20,2003,1,0,222,723193.3816432001
ever20,2003,1,1,49,157557.23226800002
ever20,2005,0,0,3727,15814359.5400396
ever20,2005,0,1,537,2531079.0344481003
ever20,2005,1,0,192,668056.5794273001
ever20,2005,1,1,45,148599.6492587
ever20,2007,0,0,4308,16021366.051254801
ever20,2007,0,1,609,2495983.2487955
ever20,2007,1,0,278,690787.746625
ever20,2007,1,1,67,184821.1048536
ever20,2009,0,0,4602,16835510.9922288
ever20,2009,0,1,670,2425419.1084388
ever20,2009,1,0,256,681535.9472920999
ever20,2009,1,1,60,159238.27314499998
ever20,2011,0,0,4203,17357391.55546
ever20,2011,0,1,677,2919713.0219851
ever20,2011,1,0,191,592142.3471023
ever20,2011,1,1,58,218191.14537980003
ever20,2013,0,0,4373,17706255.1396657
ever20,2013,0,1,723,3029347.0014487
ever20,2013,1,0,198,633176.9957103
ever20,2013,1,1,56,232470.59405200003
ever20,2015,0,0,4322,17877669.8431448
ever20,2015,0,1,690,3086749.5319103003
ever20,2015,1,0,227,694958.6427797999
ever20,2015,1,1,65,207438.6637177
ever20,2017,0,0,4096,18231679.554381125
ever20,2017,0,1,670,3049187.7117960104
ever20,2017,1,0,255,796433.9868549934
ever20,2017,1,1,82,233800.1751148855
