cycle,module,source_n,demographic_n,merged_n,unmatched_n,orphans
1999-2000,MCQ,9493,9965,9965,472,0
1999-2000,SMQ,4880,9965,9965,5085,0
2001-2002,MCQ,10470,11039,11039,569,0
2001-2002,SMQ,5411,11039,11039,5628,0
2003-2004,MCQ,9645,10122,10122,477,0
2003-2004,SMQ,5041,10122,10122,5081,0
2005-2006,MCQ,9822,10348,10348,526,0
2005-2006,SMQ,7186,10348,10348,3162,0
2007-2008,MCQ,9666,10149,10149,483,0
2007-2008,SMQ,7145,10149,10149,3004,0
2009-2010,MCQ,10109,10537,10537,428,0
2009-2010,SMQ,7528,10537,10537,3009,0
2011-2012,MCQ,9364,9756,9756,392,0
2011-2012,SMQ,6790,9756,9756,2966,0
2013-2014,MCQ,9770,10175,10175,405,0
2013-2014,SMQ,7168,10175,10175,3007,0
2015-2016,MCQ,9575,9971,9971,396,0
2015-2016,SMQ,7001,9971,9971,2970,0
2017-2018,MCQ,8897,9254,9254,357,0
2017-2018,SMQ,6724,9254,9254,2530,0
