"analysis","model","n","design_df","residual_df","parameters","min_cell","kish","fitted_min","fitted_max","condition_number_max","all_converged"
"primary_MI","M0",45558,139,138,2,378,26063.6172822826,0.075543826493225,0.155860896605637,3.93319854311762,TRUE
"primary_MI","M1",45558,139,122,18,378,26063.6172822826,0.0181589849535064,0.280937591525555,11.1222859300213,TRUE
"primary_MI","M2",45558,139,115,25,378,26063.6172822826,0.00954067310424605,0.340316458752905,56.5533649614804,TRUE
"primary_CC","M0",41486,139,138,2,340,23928.8299143071,0.0758592338319504,0.15667587223768,3.93681876542194,TRUE
"primary_CC","M1",41486,139,122,18,340,23928.8299143071,0.0186818988973122,0.283038836785794,11.16578981345,TRUE
"primary_CC","M2",41486,139,115,25,340,23928.8299143071,0.0115242561159339,0.33394723634948,56.198512802125,TRUE
"ever20_MI","M0",50018,153,152,2,573,28736.5164558543,0.132967809696895,0.208824712949856,3.85906387464536,TRUE
"ever20_MI","M1",50018,153,135,19,573,28736.5164558543,0.0309780856184911,0.413430314391361,12.9071863874972,TRUE
"ever20_MI","M2",50018,153,128,26,573,28736.5164558543,0.018169901858829,0.450160091502305,66.9683831938039,TRUE
"ever20_CC","M2",45270,153,128,26,518,26231.8433441478,0.0245244231657839,0.449833806279607,69.6827578069427,TRUE
"no_arthritis_MI","M2",39108,139,115,25,378,22447.3307348222,0.00829824258733458,0.340834456509783,55.4123248594938,TRUE
"current_never_MI","M2",43153,139,115,25,378,24587.5058068378,0.00938392006350956,0.372521634127233,56.1051567639723,TRUE
"ever18_MI","M2",45668,139,115,25,521,26126.6614448226,0.0216487310083459,0.451575039194081,56.5721865673089,TRUE
"from2003_MI","M2",40678,124,101,24,352,23027.0484750865,0.0102652019310812,0.344404760174573,50.893606297617,TRUE
"linear_age_MI","M2",45558,139,117,23,378,26063.6172822826,0.0113104644899875,0.342444746198233,608.134717160217,TRUE
"omit_2001_MI","M2",40678,124,101,24,352,23027.0484750865,0.0102652019310812,0.344404760174573,50.893606297617,TRUE
"omit_2003_MI","M2",41026,124,101,24,339,23124.6464692407,0.00927874486608967,0.340257947481304,50.464493185625,TRUE
"omit_2005_MI","M2",41068,124,101,24,341,23131.4499148408,0.00929712309593367,0.351260455046777,49.8857237385088,TRUE
"omit_2007_MI","M2",40315,123,100,24,329,22918.3075910433,0.0102245500503581,0.344401205357078,49.9418051892063,TRUE
"omit_2009_MI","M2",39987,123,100,24,332,22608.4633811489,0.0111324287554276,0.336311596156849,49.7088194437636,TRUE
"omit_2011_MI","M2",40440,122,99,24,340,23466.9961174505,0.00991209209345497,0.336298003327065,49.3945705540362,TRUE
"omit_2013_MI","M2",40220,124,101,24,337,22677.7155236808,0.00890330761938867,0.323150255538671,49.4944797815775,TRUE
"omit_2015_MI","M2",40262,124,101,24,330,23304.4907046191,0.0091349578947514,0.328058547503877,49.7464224308004,TRUE
"omit_2017_MI","M2",40468,124,101,24,324,24393.5248286805,0.00972138873512703,0.349274568818523,49.8727977205832,TRUE
"unknown_type_as_nonRA_CC","M2",45312,139,115,25,340,25955.7397818719,0.0127033296719383,0.324819736587426,55.2839912864827,TRUE
"unknown_type_as_RA_CC","M2",45312,139,115,25,791,25955.7397818719,0.0118225324120059,0.305700399653806,55.7827863328915,TRUE
