cycle,module,variable,code,expected,actual,pass_check
1999-2000,DEMO,SDDSRVYR,1,9965,9965,True
1999-2000,DEMO,SDDSRVYR,.,0,0,True
1999-2000,DEMO,RIAGENDR,1,4883,4883,True
1999-2000,DEMO,RIAGENDR,2,5082,5082,True
1999-2000,DEMO,RIAGENDR,.,0,0,True
1999-2000,DEMO,RIDAGEYR,0 to 84,9792,9792,True
1999-2000,DEMO,RIDAGEYR,85,173,173,True
1999-2000,DEMO,RIDAGEYR,.,0,0,True
1999-2000,DEMO,RIDRETH1,1,3393,3393,True
1999-2000,DEMO,RIDRETH1,2,589,589,True
1999-2000,DEMO,RIDRETH1,3,3367,3367,True
1999-2000,DEMO,RIDRETH1,4,2228,2228,True
1999-2000,DEMO,RIDRETH1,5,388,388,True
1999-2000,DEMO,RIDRETH1,.,0,0,True
1999-2000,DEMO,DMDEDUC2,1,932,932,True
1999-2000,DEMO,DMDEDUC2,2,964,964,True
1999-2000,DEMO,DMDEDUC2,3,1097,1097,True
1999-2000,DEMO,DMDEDUC2,4,1070,1070,True
1999-2000,DEMO,DMDEDUC2,5,793,793,True
1999-2000,DEMO,DMDEDUC2,7,8,8,True
1999-2000,DEMO,DMDEDUC2,9,14,14,True
1999-2000,DEMO,DMDEDUC2,.,5087,5087,True
1999-2000,DEMO,INDFMPIR,0 to 4.99,7466,7466,True
1999-2000,DEMO,INDFMPIR,5,1016,1016,True
1999-2000,DEMO,INDFMPIR,.,1483,1483,True
1999-2000,DEMO,WTINT2YR,974.66525161 to 236864.13597,9965,9965,True
1999-2000,DEMO,WTINT2YR,.,0,0,True
1999-2000,DEMO,WTINT4YR,620.682382 to 100652.32964,9965,9965,True
1999-2000,DEMO,WTINT4YR,.,0,0,True
1999-2000,DEMO,WTMEC2YR,0 to 261361.33834,9965,9965,True
1999-2000,DEMO,WTMEC2YR,.,0,0,True
1999-2000,DEMO,WTMEC4YR,0 to 103831.17105,9965,9965,True
1999-2000,DEMO,WTMEC4YR,.,0,0,True
1999-2000,DEMO,SDMVPSU,1 to 3,9965,9965,True
1999-2000,DEMO,SDMVPSU,.,0,0,True
1999-2000,DEMO,SDMVSTRA,1 to 13,9965,9965,True
1999-2000,DEMO,SDMVSTRA,.,0,0,True
1999-2000,MCQ,MCQ010,1,1170,1170,True
1999-2000,MCQ,MCQ010,2,8314,8314,True
1999-2000,MCQ,MCQ010,7,0,0,True
1999-2000,MCQ,MCQ010,9,9,9,True
1999-2000,MCQ,MCQ010,.,0,0,True
1999-2000,MCQ,MCQ030,1,415,415,True
1999-2000,MCQ,MCQ030,2,230,230,True
1999-2000,MCQ,MCQ030,7,0,0,True
1999-2000,MCQ,MCQ030,9,10,10,True
1999-2000,MCQ,MCQ030,.,8838,8838,True
1999-2000,MCQ,MCQ040,1,410,410,True
1999-2000,MCQ,MCQ040,2,520,520,True
1999-2000,MCQ,MCQ040,7,0,0,True
1999-2000,MCQ,MCQ040,9,0,0,True
1999-2000,MCQ,MCQ040,.,8563,8563,True
1999-2000,MCQ,MCQ050,1,145,145,True
1999-2000,MCQ,MCQ050,2,265,265,True
1999-2000,MCQ,MCQ050,7,0,0,True
1999-2000,MCQ,MCQ050,9,0,0,True
1999-2000,MCQ,MCQ050,.,9083,9083,True
1999-2000,MCQ,MCQ160A,1,1239,1239,True
1999-2000,MCQ,MCQ160A,2,3634,3634,True
1999-2000,MCQ,MCQ160A,7,0,0,True
1999-2000,MCQ,MCQ160A,9,7,7,True
1999-2000,MCQ,MCQ160A,.,4613,4613,True
1999-2000,MCQ,MCQ190,1,367,367,True
1999-2000,MCQ,MCQ190,2,322,322,True
1999-2000,MCQ,MCQ190,3,32,32,True
1999-2000,MCQ,MCQ190,7,1,1,True
1999-2000,MCQ,MCQ190,9,517,517,True
1999-2000,MCQ,MCQ190,.,8254,8254,True
1999-2000,SMQ,SMQ020,1,2299,2299,True
1999-2000,SMQ,SMQ020,2,2566,2566,True
1999-2000,SMQ,SMQ020,7,4,4,True
1999-2000,SMQ,SMQ020,9,8,8,True
1999-2000,SMQ,SMQ020,.,3,3,True
1999-2000,SMQ,SMQ040,1,823,823,True
1999-2000,SMQ,SMQ040,2,176,176,True
1999-2000,SMQ,SMQ040,3,1300,1300,True
1999-2000,SMQ,SMQ040,7,0,0,True
1999-2000,SMQ,SMQ040,9,0,0,True
1999-2000,SMQ,SMQ040,.,2581,2581,True
2001-2002,DEMO,SDDSRVYR,2,11039,11039,True
2001-2002,DEMO,SDDSRVYR,.,0,0,True
2001-2002,DEMO,RIAGENDR,1,5331,5331,True
2001-2002,DEMO,RIAGENDR,2,5708,5708,True
2001-2002,DEMO,RIAGENDR,.,0,0,True
2001-2002,DEMO,RIDAGEYR,0 to 84,10803,10803,True
2001-2002,DEMO,RIDAGEYR,85,236,236,True
2001-2002,DEMO,RIDAGEYR,.,0,0,True
2001-2002,DEMO,RIDRETH1,1,2776,2776,True
2001-2002,DEMO,RIDRETH1,2,517,517,True
2001-2002,DEMO,RIDRETH1,3,4606,4606,True
2001-2002,DEMO,RIDRETH1,4,2681,2681,True
2001-2002,DEMO,RIDRETH1,5,459,459,True
2001-2002,DEMO,RIDRETH1,.,0,0,True
2001-2002,DEMO,DMDEDUC2,1,797,797,True
2001-2002,DEMO,DMDEDUC2,2,870,870,True
2001-2002,DEMO,DMDEDUC2,3,1265,1265,True
2001-2002,DEMO,DMDEDUC2,4,1379,1379,True
2001-2002,DEMO,DMDEDUC2,5,1079,1079,True
2001-2002,DEMO,DMDEDUC2,7,5,5,True
2001-2002,DEMO,DMDEDUC2,9,12,12,True
2001-2002,DEMO,DMDEDUC2,.,5632,5632,True
2001-2002,DEMO,INDFMPIR,0 to 4.99,8763,8763,True
2001-2002,DEMO,INDFMPIR,5,1482,1482,True
2001-2002,DEMO,INDFMPIR,.,794,794,True
2001-2002,DEMO,WTINT2YR,1492.093618 to 201188.12151,11039,11039,True
2001-2002,DEMO,WTINT2YR,.,0,0,True
2001-2002,DEMO,WTINT4YR,683.456211 to 94900.896398,11039,11039,True
2001-2002,DEMO,WTINT4YR,.,0,0,True
2001-2002,DEMO,WTMEC2YR,0 to 211850.66405,11039,11039,True
2001-2002,DEMO,WTMEC2YR,.,0,0,True
2001-2002,DEMO,WTMEC4YR,0 to 103831.17105,11039,11039,True
2001-2002,DEMO,WTMEC4YR,.,0,0,True
2001-2002,DEMO,SDMVPSU,1 to 2,11039,11039,True
2001-2002,DEMO,SDMVPSU,.,0,0,True
2001-2002,DEMO,SDMVSTRA,14 to 28,11039,11039,True
2001-2002,DEMO,SDMVSTRA,.,0,0,True
2001-2002,MCQ,MCQ010,1,1288,1288,True
2001-2002,MCQ,MCQ010,2,9172,9172,True
2001-2002,MCQ,MCQ010,7,0,0,True
2001-2002,MCQ,MCQ010,9,9,9,True
2001-2002,MCQ,MCQ010,.,1,1,True
2001-2002,MCQ,MCQ035,1,793,793,True
2001-2002,MCQ,MCQ035,2,474,474,True
2001-2002,MCQ,MCQ035,7,0,0,True
2001-2002,MCQ,MCQ035,9,21,21,True
2001-2002,MCQ,MCQ035,.,9182,9182,True
2001-2002,MCQ,MCQ040,1,436,436,True
2001-2002,MCQ,MCQ040,2,355,355,True
2001-2002,MCQ,MCQ040,7,0,0,True
2001-2002,MCQ,MCQ040,9,2,2,True
2001-2002,MCQ,MCQ040,.,9677,9677,True
2001-2002,MCQ,MCQ050,1,153,153,True
2001-2002,MCQ,MCQ050,2,282,282,True
2001-2002,MCQ,MCQ050,7,0,0,True
2001-2002,MCQ,MCQ050,9,1,1,True
2001-2002,MCQ,MCQ050,.,10034,10034,True
2001-2002,MCQ,MCQ160A,1,1331,1331,True
2001-2002,MCQ,MCQ160A,2,4074,4074,True
2001-2002,MCQ,MCQ160A,7,0,0,True
2001-2002,MCQ,MCQ160A,9,6,6,True
2001-2002,MCQ,MCQ160A,.,5059,5059,True
2001-2002,MCQ,MCQ190,1,282,282,True
2001-2002,MCQ,MCQ190,2,392,392,True
2001-2002,MCQ,MCQ190,3,142,142,True
2001-2002,MCQ,MCQ190,7,5,5,True
2001-2002,MCQ,MCQ190,9,509,509,True
2001-2002,MCQ,MCQ190,.,9140,9140,True
2001-2002,SMQ,SMQ020,1,2596,2596,True
2001-2002,SMQ,SMQ020,2,2801,2801,True
2001-2002,SMQ,SMQ020,7,4,4,True
2001-2002,SMQ,SMQ020,9,6,6,True
2001-2002,SMQ,SMQ020,.,4,4,True
2001-2002,SMQ,SMQ040,1,951,951,True
2001-2002,SMQ,SMQ040,2,220,220,True
2001-2002,SMQ,SMQ040,3,1424,1424,True
2001-2002,SMQ,SMQ040,7,0,0,True
2001-2002,SMQ,SMQ040,9,1,1,True
2001-2002,SMQ,SMQ040,.,2815,2815,True
2003-2004,DEMO,SDDSRVYR,3,10122,10122,True
2003-2004,DEMO,SDDSRVYR,.,0,0,True
2003-2004,DEMO,RIAGENDR,1,4970,4970,True
2003-2004,DEMO,RIAGENDR,2,5152,5152,True
2003-2004,DEMO,RIAGENDR,.,0,0,True
2003-2004,DEMO,RIDAGEYR,0 to 84,9899,9899,True
2003-2004,DEMO,RIDAGEYR,85,223,223,True
2003-2004,DEMO,RIDAGEYR,.,0,0,True
2003-2004,DEMO,RIDRETH1,1,2519,2519,True
2003-2004,DEMO,RIDRETH1,2,341,341,True
2003-2004,DEMO,RIDRETH1,3,4133,4133,True
2003-2004,DEMO,RIDRETH1,4,2663,2663,True
2003-2004,DEMO,RIDRETH1,5,466,466,True
2003-2004,DEMO,RIDRETH1,.,0,0,True
2003-2004,DEMO,DMDEDUC2,1,727,727,True
2003-2004,DEMO,DMDEDUC2,2,760,760,True
2003-2004,DEMO,DMDEDUC2,3,1269,1269,True
2003-2004,DEMO,DMDEDUC2,4,1356,1356,True
2003-2004,DEMO,DMDEDUC2,5,915,915,True
2003-2004,DEMO,DMDEDUC2,7,5,5,True
2003-2004,DEMO,DMDEDUC2,9,9,9,True
2003-2004,DEMO,DMDEDUC2,.,5081,5081,True
2003-2004,DEMO,INDFMPIR,0 to 4.99,8360,8360,True
2003-2004,DEMO,INDFMPIR,5,1175,1175,True
2003-2004,DEMO,INDFMPIR,.,587,587,True
2003-2004,DEMO,WTINT2YR,1498.994197 to 156319.65778,10122,10122,True
2003-2004,DEMO,WTINT2YR,.,0,0,True
2003-2004,DEMO,WTMEC2YR,0 to 159302.77518,10122,10122,True
2003-2004,DEMO,WTMEC2YR,.,0,0,True
2003-2004,DEMO,SDMVPSU,1 to 2,10122,10122,True
2003-2004,DEMO,SDMVPSU,.,0,0,True
2003-2004,DEMO,SDMVSTRA,29 to 43,10122,10122,True
2003-2004,DEMO,SDMVSTRA,.,0,0,True
2003-2004,MCQ,MCQ010,1,1336,1336,True
2003-2004,MCQ,MCQ010,2,8290,8290,True
2003-2004,MCQ,MCQ010,7,0,0,True
2003-2004,MCQ,MCQ010,9,19,19,True
2003-2004,MCQ,MCQ010,.,0,0,True
2003-2004,MCQ,MCQ035,1,845,845,True
2003-2004,MCQ,MCQ035,2,459,459,True
2003-2004,MCQ,MCQ035,7,0,0,True
2003-2004,MCQ,MCQ035,9,32,32,True
2003-2004,MCQ,MCQ035,.,8309,8309,True
2003-2004,MCQ,MCQ040,1,436,436,True
2003-2004,MCQ,MCQ040,2,407,407,True
2003-2004,MCQ,MCQ040,7,0,0,True
2003-2004,MCQ,MCQ040,9,2,2,True
2003-2004,MCQ,MCQ040,.,8800,8800,True
2003-2004,MCQ,MCQ050,1,147,147,True
2003-2004,MCQ,MCQ050,2,289,289,True
2003-2004,MCQ,MCQ050,7,0,0,True
2003-2004,MCQ,MCQ050,9,0,0,True
2003-2004,MCQ,MCQ050,.,9209,9209,True
2003-2004,MCQ,MCQ160A,1,1408,1408,True
2003-2004,MCQ,MCQ160A,2,3619,3619,True
2003-2004,MCQ,MCQ160A,7,0,0,True
2003-2004,MCQ,MCQ160A,9,13,13,True
2003-2004,MCQ,MCQ160A,.,4605,4605,True
2003-2004,MCQ,MCQ190,1,271,271,True
2003-2004,MCQ,MCQ190,2,498,498,True
2003-2004,MCQ,MCQ190,3,161,161,True
2003-2004,MCQ,MCQ190,7,0,0,True
2003-2004,MCQ,MCQ190,9,478,478,True
2003-2004,MCQ,MCQ190,.,8237,8237,True
2003-2004,SMQ,SMQ020,1,2497,2497,True
2003-2004,SMQ,SMQ020,2,2538,2538,True
2003-2004,SMQ,SMQ020,7,1,1,True
2003-2004,SMQ,SMQ020,9,4,4,True
2003-2004,SMQ,SMQ020,.,1,1,True
2003-2004,SMQ,SMQ040,1,934,934,True
2003-2004,SMQ,SMQ040,2,197,197,True
2003-2004,SMQ,SMQ040,3,1365,1365,True
2003-2004,SMQ,SMQ040,7,0,0,True
2003-2004,SMQ,SMQ040,9,0,0,True
2003-2004,SMQ,SMQ040,.,2545,2545,True
2005-2006,DEMO,SDDSRVYR,4,10348,10348,True
2005-2006,DEMO,SDDSRVYR,.,0,0,True
2005-2006,DEMO,RIAGENDR,1,5080,5080,True
2005-2006,DEMO,RIAGENDR,2,5268,5268,True
2005-2006,DEMO,RIAGENDR,.,0,0,True
2005-2006,DEMO,RIDAGEYR,0 to 84,10178,10178,True
2005-2006,DEMO,RIDAGEYR,85,170,170,True
2005-2006,DEMO,RIDAGEYR,.,0,0,True
2005-2006,DEMO,RIDRETH1,1,2847,2847,True
2005-2006,DEMO,RIDRETH1,2,349,349,True
2005-2006,DEMO,RIDRETH1,3,3928,3928,True
2005-2006,DEMO,RIDRETH1,4,2710,2710,True
2005-2006,DEMO,RIDRETH1,5,514,514,True
2005-2006,DEMO,RIDRETH1,.,0,0,True
2005-2006,DEMO,DMDEDUC2,1,628,628,True
2005-2006,DEMO,DMDEDUC2,2,766,766,True
2005-2006,DEMO,DMDEDUC2,3,1181,1181,True
2005-2006,DEMO,DMDEDUC2,4,1417,1417,True
2005-2006,DEMO,DMDEDUC2,5,978,978,True
2005-2006,DEMO,DMDEDUC2,7,6,6,True
2005-2006,DEMO,DMDEDUC2,9,3,3,True
2005-2006,DEMO,DMDEDUC2,.,5369,5369,True
2005-2006,DEMO,INDFMPIR,0 to 4.99,8409,8409,True
2005-2006,DEMO,INDFMPIR,5,1405,1405,True
2005-2006,DEMO,INDFMPIR,.,534,534,True
2005-2006,DEMO,WTINT2YR,1224.968032 to 152162.42158,10348,10348,True
2005-2006,DEMO,WTINT2YR,.,0,0,True
2005-2006,DEMO,WTMEC2YR,0 to 156152.18069,10348,10348,True
2005-2006,DEMO,WTMEC2YR,.,0,0,True
2005-2006,DEMO,SDMVPSU,1 to 2,10348,10348,True
2005-2006,DEMO,SDMVPSU,.,0,0,True
2005-2006,DEMO,SDMVSTRA,44 to 58,10348,10348,True
2005-2006,DEMO,SDMVSTRA,.,0,0,True
2005-2006,MCQ,MCQ010,1,1389,1389,True
2005-2006,MCQ,MCQ010,2,8420,8420,True
2005-2006,MCQ,MCQ010,7,0,0,True
2005-2006,MCQ,MCQ010,9,13,13,True
2005-2006,MCQ,MCQ010,.,0,0,True
2005-2006,MCQ,MCQ035,1,873,873,True
2005-2006,MCQ,MCQ035,2,492,492,True
2005-2006,MCQ,MCQ035,7,0,0,True
2005-2006,MCQ,MCQ035,9,24,24,True
2005-2006,MCQ,MCQ035,.,8433,8433,True
2005-2006,MCQ,MCQ040,1,476,476,True
2005-2006,MCQ,MCQ040,2,397,397,True
2005-2006,MCQ,MCQ040,7,0,0,True
2005-2006,MCQ,MCQ040,9,0,0,True
2005-2006,MCQ,MCQ040,.,8949,8949,True
2005-2006,MCQ,MCQ050,1,162,162,True
2005-2006,MCQ,MCQ050,2,314,314,True
2005-2006,MCQ,MCQ050,7,0,0,True
2005-2006,MCQ,MCQ050,9,0,0,True
2005-2006,MCQ,MCQ050,.,9346,9346,True
2005-2006,MCQ,MCQ160A,1,1247,1247,True
