analysis,cycle,source_n,adult_n,ra_unknown_n,outcome_unknown_n,joint_known_n,complete_n,complete_pct,weighted_complete_pct,ra_conflicts,asthma_conflicts
primary,all,91351,50201,4501,182,45558,41486,91.06194301769173,92.63525992723756,0,0
primary,2001,11039,5411,521,11,4880,4489,91.98770491803279,92.88106393788357,0,0
primary,2003,10122,5041,492,23,4532,4260,93.9982347749338,94.34650258587308,0,0
primary,2005,10348,4979,473,20,4490,4272,95.14476614699332,96.16033966205443,0,0
primary,2007,10149,5935,669,26,5243,4762,90.82586305550258,92.36549046359525,0,0
primary,2009,10537,6218,627,27,5571,5014,90.00179500987255,91.80864187775623,0,0
primary,2011,9756,5560,429,18,5118,4662,91.09026963657679,93.55413147523467,0,0
primary,2013,10175,5769,414,18,5338,4914,92.05695016860247,93.22825762766281,0,0
primary,2015,9971,5719,413,16,5296,4716,89.04833836858006,91.51762864513837,0,0
primary,2017,9254,5569,463,23,5090,4397,86.38506876227898,88.59417615790018,0,0
ever20,all,101316,55081,5026,54,50018,45270,90.50741732976128,92.17664747711542,0,0
ever20,1999,9965,4880,525,5,4350,3689,84.80459770114942,87.4744462852893,0,0
ever20,2001,11039,5411,521,4,4887,4496,91.99918150194394,92.87246172493845,0,0
ever20,2003,10122,5041,492,7,4544,4269,93.9480633802817,94.28298771076427,0,0
ever20,2005,10348,4979,473,7,4501,4283,95.15663185958675,96.1707286046468,0,0
ever20,2007,10149,5935,669,6,5262,4778,90.80197643481566,92.34391264418241,0,0
ever20,2009,10537,6218,627,7,5588,5028,89.97852541159628,91.80241456170049,0,0
ever20,2011,9756,5560,429,4,5129,4672,91.0898810684344,93.54075612229835,0,0
ever20,2013,10175,5769,414,5,5350,4926,92.07476635514018,93.24279049481339,0,0
ever20,2015,9971,5719,413,4,5304,4722,89.02714932126698,91.49627846004165,0,0
ever20,2017,9254,5569,463,5,5103,4407,86.36096413874192,88.51352328690386,0,0
