"analysis","model","n","estimate","lower","upper","log_or","std_error","df","p_value","m","missing_information","mc_error","mc_error_over_se"
"primary_MI","M0",45558,2.25949039396625,1.90572052584111,2.67893259856268,0.815139298462174,0.0861058798943587,136.042553191489,1.20317736602938e-16,30,0,0,0
"primary_MI","M1",45558,2.29746531150961,1.92245329334664,2.74563073956471,0.831806476770115,0.0900057268003143,120.048,1.09526895126587e-15,30,0,0,0
"primary_MI","M2",45558,2.09301624003056,1.75884799631816,2.49067400378084,0.738606202645685,0.0877998188914806,113.007281401933,1.39090886279658e-13,30,0.000384790157326118,0.000309331929406745,0.00352314997128952
"primary_CC","M0",41486,2.26327471603135,1.90029369793632,2.69558986897111,0.816812753906447,0.0884053955820592,138,4.02356995814272e-16,1,0,0,0
"primary_CC","M1",41486,2.29278302321574,1.90179701036604,2.76415093876633,0.82976637367485,0.0944469342451688,122,1.17918627902277e-14,1,0,0,0
"primary_CC","M2",41486,2.10193604433483,1.75232944378302,2.52129252872443,0.742858845890464,0.0918377119379331,115,6.87261745455701e-13,1,0,0,0
"ever20_MI","M0",50018,1.7210674329573,1.48953506839566,1.98858903803898,0.542944698889046,0.073121400671415,150.038709677419,7.84514986511919e-12,30,0,0,0
"ever20_MI","M1",50018,1.95888478931337,1.68646453981657,2.27530999152859,0.67237532626481,0.0757049335783525,133.04347826087,3.96761134235079e-15,30,0,0,0
"ever20_MI","M2",50018,1.86011262593688,1.60439859477199,2.1565831536156,0.620637037470907,0.0747298123524026,126.003807013429,1.33424711107148e-13,30,0.000332687934260107,0.000244811361963236,0.00327595312040637
"ever20_CC","M2",45270,1.87796232346631,1.61266215152159,2.1869072111796,0.630187318532805,0.0769713643024902,128,2.33305115902702e-13,1,0,0,0
"no_arthritis_MI","M2",39108,2.69906353367148,2.26299115179576,3.21916590483103,0.992904873466661,0.0889457641327264,113.010914561404,5.92826365852362e-20,30,0.000352744797417838,0.000300036943165839,0.00337325724379768
"current_never_MI","M2",43153,2.12744844022037,1.78314562618249,2.53823176264398,0.754923346257678,0.089110788004882,113.01225004929,1.01846879292729e-13,30,0.00034096346312427,0.000295531214780033,0.00331644710361939
"ever18_MI","M2",45668,1.86258285332647,1.59237721104451,2.17863886863223,0.621964155289649,0.0791125829437835,113.009406374951,2.4416933146893e-12,30,0.000366048339836443,0.000271852879739331,0.00343627865029393
"from2003_MI","M2",40678,2.12596020314729,1.7695700605574,2.55412706515977,0.754223560622862,0.0924734561905381,99.0197248840437,1.10881586310047e-12,30,0.000382785855437553,0.000324948235840346,0.00351396226794856
"linear_age_MI","M2",45558,2.11360836798476,1.77662112884699,2.51451491861658,0.748396613892754,0.0876831563069716,115.010057480933,6.55196342259166e-14,30,0.000346698775218866,0.000293232080275569,0.00334422359579516
"omit_2001_MI","M2",40678,2.12596020314729,1.7695700605574,2.55412706515977,0.754223560622862,0.0924734561905381,99.0197248840437,1.10881586310047e-12,30,0.000382785855437553,0.000324948235840346,0.00351396226794856
"omit_2003_MI","M2",41026,2.08197068654854,1.72650929212485,2.51061605021118,0.733314890626098,0.0943514547307923,99.020742890498,7.35165811792549e-12,30,0.000372535367241417,0.00032707813174834,0.00346659341587869
"omit_2005_MI","M2",41068,2.08418397347783,1.73321328161259,2.50622521843378,0.734377399014831,0.092933784738769,99.0202258408376,3.88237098892869e-12,30,0.000377741721578278,0.00032440702850788,0.00349073299252546
"omit_2007_MI","M2",40315,2.08781445385726,1.72733147053996,2.52352792042438,0.73611780297665,0.0955120170503515,98.0166090362151,1.06307329215607e-11,30,0.000424072553665253,0.000353262267743084,0.00369861592973011
"omit_2009_MI","M2",39987,2.09934023193293,1.74026785493349,2.53250061300516,0.741623120095957,0.0945262987359295,98.011886609205,5.40274438706832e-12,30,0.000472086661371286,0.000368877929043538,0.00390238414046066
"omit_2011_MI","M2",40440,2.0610529555479,1.71479685767237,2.47722595627963,0.723216995682019,0.092669289974515,97.0215546652136,6.96739348766712e-12,30,0.000383490409852222,0.000325935933240737,0.00351719467506843
"omit_2013_MI","M2",40220,2.04047708627844,1.68662771560587,2.46856297990556,0.71318364633654,0.0959839318743309,99.0167778616871,3.89886000732975e-11,30,0.000412455922148186,0.000350111568643491,0.00364760602953714
"omit_2015_MI","M2",40262,2.08571606273388,1.7465705504223,2.4907161599022,0.735112231654311,0.0894349275462534,99.0111587458229,8.10421512526645e-13,30,0.000469011553524548,0.000347870885877372,0.00388965357742882
"omit_2017_MI","M2",40468,2.17409038918031,1.81917600328006,2.59824723490404,0.776610365194552,0.0898225080574949,99.0283433278476,9.7039331091177e-14,30,0.000295982618693897,0.000277547573398843,0.00308995572937227
"unknown_type_as_nonRA_CC","M2",45312,1.95142067460788,1.62664929903419,2.34103482019638,0.668557658392113,0.0918995916049254,115,4.56908724314629e-11,1,0,0,0
"unknown_type_as_RA_CC","M2",45312,1.8243167360895,1.62600431260427,2.04681594493793,0.601205525748745,0.058097447611875,115,3.89334885599796e-18,1,0,0,0
