"analysis","cycle","ra","n","asthma_n","prevalence","lower","upper"
"primary","all",0,42982,3135,0.0755438264932251,0.0715529273095313,0.0797382028511337
"primary","all",1,2576,378,0.155860896605699,0.134973988267776,0.179310006908796
"primary","2001",0,4598,270,0.0684447164783248,0.0539909393806781,0.0864144236026937
"primary","2001",1,282,26,0.118022446352487,0.0654232020897548,0.203693667463288
"primary","2003",0,4262,288,0.0698261124965575,0.0617512740095404,0.0788680909852107
"primary","2003",1,270,39,0.138636674491126,0.094360273295642,0.199120863208788
"primary","2005",0,4253,310,0.0766010140390655,0.0652836665583867,0.0896920368573784
"primary","2005",1,237,37,0.15238285918622,0.0978752158728897,0.229523050276754
"primary","2007",0,4899,327,0.0689316165067582,0.0555110372266006,0.0853037657389239
"primary","2007",1,344,49,0.155700805666536,0.117599226481795,0.203302917749521
"primary","2009",0,5257,363,0.06481275661559,0.0546005422781505,0.0767798902373904
"primary","2009",1,314,46,0.152520102945977,0.0955406608075417,0.234664764593128
"primary","2011",0,4870,376,0.0800070451872358,0.0618200682052244,0.102957319146615
"primary","2011",1,248,38,0.172735077224247,0.111427315017674,0.257981200097039
"primary","2013",0,5084,414,0.0836297237248585,0.0749186176537952,0.0932516053609418
"primary","2013",1,254,41,0.201991386997758,0.141303097397577,0.280238301465842
"primary","2015",0,5004,385,0.0813356411020646,0.0731822219643093,0.0903089399208407
"primary","2015",1,292,48,0.17292621040812,0.103183272490491,0.27533656192922
"primary","2017",0,4755,402,0.0829466872741025,0.0705339955294907,0.0973150781626903
"primary","2017",1,335,54,0.138729386985904,0.0713517936952171,0.252436475577428
"ever20","all",0,47068,5901,0.132967809697571,0.128493467173974,0.137573361115906
"ever20","all",1,2950,573,0.208824712979793,0.185091330622909,0.234724751232512
"ever20","1999",0,3983,394,0.110305431272937,0.0969536907140636,0.125240869866435
"ever20","1999",1,367,52,0.17091551242823,0.110165914976285,0.255544228457433
"ever20","2001",0,4605,442,0.110293732894152,0.0919446029172781,0.131773349916737
"ever20","2001",1,282,39,0.167537846984649,0.101097401998773,0.264780734863821
"ever20","2003",0,4273,489,0.120405304090936,0.112108216151979,0.129227083234655
"ever20","2003",1,271,49,0.17888972176788,0.131114046604679,0.239279911870171
"ever20","2005",0,4264,537,0.137967759622855,0.123293608016793,0.154081452811496
"ever20","2005",1,237,45,0.181961079877364,0.133504674102298,0.243071350735173
"ever20","2007",0,4917,609,0.13479160591225,0.119712641071716,0.151443152698557
"ever20","2007",1,345,67,0.211077245902803,0.159087407733311,0.274511001989302
"ever20","2009",0,5272,670,0.125924298347087,0.114358346394537,0.138477104795663
"ever20","2009",1,316,60,0.189394809302871,0.120742005942459,0.284454391593207
"ever20","2011",0,4880,677,0.143990627992956,0.120899674788187,0.170635751937929
"ever20","2011",1,249,58,0.269260924774189,0.169507434354721,0.39948079373559
"ever20","2013",0,5096,723,0.146093999152765,0.13440147029078,0.158617342822735
"ever20","2013",1,254,56,0.268551078847297,0.196077338669823,0.355951715557811
"ever20","2015",0,5012,690,0.147237539790069,0.137804754623405,0.157198280444495
"ever20","2015",1,292,65,0.229875091881836,0.141125426763766,0.351589558530636
"ever20","2017",0,4766,670,0.14328305673154,0.129545540674816,0.158212570483694
"ever20","2017",1,337,82,0.226938868606856,0.148211113989406,0.331224088859272
