"analysis","ra","variable","level","n","estimate","lower","upper","missing_n","missing_fraction"
"primary",0,"age","mean",42982,45.5562927658382,45.1874744074346,45.9251111242418,0,0
"primary",0,"sex","1",21094,0.486685515034715,0.481650737289743,0.491722996216153,0,0
"primary",0,"sex","2",21888,0.513314484965282,0.508277003783843,0.518349262710254,0,0
"primary",0,"race","1",7280,0.0861360467633083,0.0755555109818535,0.098041108340403,0,0
"primary",0,"race","2",3636,0.0554915908781945,0.0480440902986291,0.0640159233177072,0,0
"primary",0,"race","3",18765,0.673334080469815,0.651223473759473,0.694700119452432,0,0
"primary",0,"race","4",8727,0.109798285705131,0.0986817785615624,0.121997566727628,0,0
"primary",0,"race","5",4574,0.0752399961835493,0.0686154090473934,0.082447548227456,0,0
"primary",0,"education","1",4534,0.05300105448275,0.0491975063658138,0.0570810080646481,64,0.00107984694933828
"primary",0,"education","2",6035,0.104228740653115,0.0978559137311214,0.110965546102344,64,0.00107984694933828
"primary",0,"education","3",9848,0.234107175508957,0.226553443014359,0.241834016124364,64,0.00107984694933828
"primary",0,"education","4",12473,0.312215436219278,0.304276197519716,0.32026646762517,64,0.00107984694933828
"primary",0,"education","5",10028,0.296447593135897,0.282315639574558,0.31098042666645,64,0.00107984694933828
"primary",0,"pir","mean",39201,3.03236560095752,2.9787102128306,3.08602098908444,3781,0.0724699876067624
"primary",0,"smoke","0",24104,0.554803758652601,0.544968092938341,0.564596681313619,38,0.000606563641635288
"primary",0,"smoke","1",9960,0.234992082114915,0.227545399434327,0.242605926397515,38,0.000606563641635288
"primary",0,"smoke","2",8880,0.210204159232476,0.202914655567865,0.217684014774913,38,0.000606563641635288
"primary",1,"age","mean",2576,57.6173510326733,56.886461746957,58.3482403183896,0,0
"primary",1,"sex","1",1052,0.408738710677271,0.381573599399849,0.436472828448529,0,0
"primary",1,"sex","2",1524,0.591261289322729,0.563527171551471,0.618426400600151,0,0
"primary",1,"race","1",379,0.0662842520328307,0.0534256935800942,0.0819696247155157,0,0
"primary",1,"race","2",220,0.050750558870055,0.0395450655908292,0.06491663236007,0,0
"primary",1,"race","3",1055,0.656400104871473,0.620787840712519,0.690336240405449,0,0
"primary",1,"race","4",774,0.171685626851542,0.148884080172674,0.197170251575587,0,0
"primary",1,"race","5",148,0.0548794573740991,0.042205498760509,0.0710768694293054,0,0
"primary",1,"education","1",437,0.0970201731013391,0.0837062327307907,0.112192480293789,6,0.00110829350283022
"primary",1,"education","2",491,0.155180123867946,0.137610695011091,0.174538731925237,6,0.00110829350283022
"primary",1,"education","3",618,0.27326051101799,0.246932370256643,0.301272758750261,6,0.00110829350283022
"primary",1,"education","4",728,0.329176006420346,0.302232470079064,0.357291586309006,6,0.00110829350283022
"primary",1,"education","5",296,0.145363185592381,0.125244589170645,0.168092512484138,6,0.00110829350283022
"primary",1,"pir","mean",2347,2.49132670831677,2.38193098708167,2.60072242955187,229,0.076046407610626
"primary",1,"smoke","0",1155,0.418058383695412,0.387877659191799,0.448865430533298,4,0.000916563704732778
"primary",1,"smoke","1",805,0.318111369806829,0.291636508449608,0.345816312585291,4,0.000916563704732778
"primary",1,"smoke","2",612,0.263830246497761,0.239529204019638,0.289657650385738,4,0.000916563704732778
"ever20",0,"age","mean",47068,45.4668073367924,45.1254788787839,45.8081357948009,0,0
"ever20",0,"sex","1",23050,0.487191889407847,0.48240065039243,0.491985483305562,0,0
"ever20",0,"sex","2",24018,0.512808110592159,0.508014516694444,0.517599349607576,0,0
"ever20",0,"race","1",8366,0.0850705202840676,0.0751027528658935,0.0962235923318387,0,0
"ever20",0,"race","2",3895,0.0574515454360009,0.0494004624803853,0.0667226619073118,0,0
"ever20",0,"race","3",20613,0.675340399504119,0.6547575132787,0.695267281514564,0,0
"ever20",0,"race","4",9473,0.109344635831894,0.0988621220894705,0.12078964385909,0,0
"ever20",0,"race","5",4721,0.0727928989439258,0.0665785715119937,0.0795378354761603,0,0
"ever20",0,"education","1",5208,0.0543161673070772,0.0506430547539257,0.0582393455265985,78,0.00126793137238233
"ever20",0,"education","2",6828,0.108869375024701,0.102827906060559,0.115220214116753,78,0.00126793137238233
"ever20",0,"education","3",10777,0.235974048812223,0.228378350755504,0.243742573433062,78,0.00126793137238233
"ever20",0,"education","4",13424,0.309345234879247,0.301817615647272,0.316975363278656,78,0.00126793137238233
"ever20",0,"education","5",10753,0.29149517397676,0.277919970757427,0.305452968473957,78,0.00126793137238233
"ever20",0,"pir","mean",42678,3.02739761623705,2.97440564282298,3.08038958965112,4390,0.0769552880303261
"ever20",0,"smoke","0",26278,0.550386390212346,0.541063304412605,0.559674213784474,48,0.000785805173467611
"ever20",0,"smoke","1",10987,0.235553448714556,0.228528977470456,0.242725903274752,48,0.000785805173467611
"ever20",0,"smoke","2",9755,0.214060161073106,0.206941833937767,0.221354999766476,48,0.000785805173467611
"ever20",1,"age","mean",2950,57.8107327371003,57.1141057805866,58.5073596936139,0,0
"ever20",1,"sex","1",1199,0.407890228961762,0.382801896512063,0.433468030394162,0,0
"ever20",1,"sex","2",1751,0.592109771038236,0.566531969605836,0.617198103487935,0,0
"ever20",1,"race","1",466,0.0630618200281823,0.0514211642400683,0.0771234197519343,0,0
"ever20",1,"race","2",232,0.0492885374385325,0.0384280954152972,0.0630171760252385,0,0
"ever20",1,"race","3",1227,0.665871919017493,0.63354669415812,0.696710734516994,0,0
"ever20",1,"race","4",867,0.16746397186127,0.146681932450342,0.190532986645781,0,0
"ever20",1,"race","5",158,0.0543137516545194,0.0423812330393594,0.0693625487529114,0,0
"ever20",1,"education","1",552,0.101047474135831,0.0884287729244548,0.115239213594485,8,0.00133649846054438
"ever20",1,"education","2",578,0.166705790653123,0.149461365818195,0.18550588545429,8,0.00133649846054438
"ever20",1,"education","3",708,0.279582113086972,0.255071055648021,0.305482655541883,8,0.00133649846054438
"ever20",1,"education","4",777,0.310940372007691,0.285482010340049,0.337596356471514,8,0.00133649846054438
"ever20",1,"education","5",327,0.14172425011638,0.12246496447371,0.16344818465081,8,0.00133649846054438
"ever20",1,"pir","mean",2667,2.50341544527335,2.40130591856671,2.60552497198,283,0.0812641453293073
"ever20",1,"smoke","0",1334,0.421177849031135,0.392855104736005,0.450028997265059,5,0.000848950327214127
"ever20",1,"smoke","1",925,0.317158270259148,0.293290717476078,0.342028105242679,5,0.000848950327214127
"ever20",1,"smoke","2",686,0.261663880709714,0.238371329805555,0.286376668402763,5,0.000848950327214127
