特征,"非RA 42,982人","RA 2,576人"
年龄 岁,45.6 (45.2-45.9),57.6 (56.9-58.3)
女性 %,51.3 (50.8-51.8),59.1 (56.4-61.8)
族裔 墨西哥裔 %,8.6 (7.6-9.8),6.6 (5.3-8.2)
族裔 其他西班牙裔 %,5.5 (4.8-6.4),5.1 (4.0-6.5)
族裔 非西班牙裔白人 %,67.3 (65.1-69.5),65.6 (62.1-69.0)
族裔 非西班牙裔黑人 %,11.0 (9.9-12.2),17.2 (14.9-19.7)
族裔 其他或多族裔 %,7.5 (6.9-8.2),5.5 (4.2-7.1)
教育 低于9年级 %,5.3 (4.9-5.7),9.7 (8.4-11.2)
教育 9至11年级等未毕业 %,10.4 (9.8-11.1),15.5 (13.8-17.5)
教育 高中毕业或同等学历 %,23.4 (22.7-24.2),27.3 (24.7-30.1)
教育 部分大学或副学士 %,31.2 (30.4-32.0),32.9 (30.2-35.7)
教育 大学毕业及以上 %,29.6 (28.2-31.1),14.5 (12.5-16.8)
吸烟 从未 %,55.5 (54.5-56.5),41.8 (38.8-44.9)
吸烟 既往 %,23.5 (22.8-24.3),31.8 (29.2-34.6)
吸烟 当前 %,21.0 (20.3-21.8),26.4 (24.0-29.0)
收入贫困比,3.03 (2.98-3.09),2.49 (2.38-2.60)
教育缺失 人,64,6
收入贫困比缺失 人,"3,781",229
吸烟缺失 人,38,4
