分析情景,人数,OR及95%CI
完整病例 当前哮喘,"41,486",2.10 (1.75-2.52)
对照限定为无任何关节炎,"39,108",2.70 (2.26-3.22)
当前哮喘对从未哮喘,"43,153",2.13 (1.78-2.54)
曾患哮喘 同期2001-2018,"45,668",1.86 (1.59-2.18)
限制为2003-2018,"40,678",2.13 (1.77-2.55)
年龄采用线性调整,"45,558",2.11 (1.78-2.51)
删除2001-2002周期,"40,678",2.13 (1.77-2.55)
删除2003-2004周期,"41,026",2.08 (1.73-2.51)
删除2005-2006周期,"41,068",2.08 (1.73-2.51)
删除2007-2008周期,"40,315",2.09 (1.73-2.52)
删除2009-2010周期,"39,987",2.10 (1.74-2.53)
删除2011-2012周期,"40,440",2.06 (1.71-2.48)
删除2013-2014周期,"40,220",2.04 (1.69-2.47)
删除2015-2016周期,"40,262",2.09 (1.75-2.49)
删除2017-2018周期,"40,468",2.17 (1.82-2.60)
未知关节炎类型全部归非RA,"45,312",1.95 (1.63-2.34)
未知关节炎类型全部归RA,"45,312",1.82 (1.63-2.05)
完整病例 曾患哮喘1999-2018,"45,270",1.88 (1.61-2.19)
